match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
82604,300,2014/2015,2,complete,970,Skënderbeu Korçë,1376,Laçi,1,2,0,1668.53,1538.84,2,33,33,0.0000,0.0000,0.0000,2,7.00,6.00,2.67,1.44,0,0,3,1,0,0,0.2941176470588236,0,0,-0.5347222222222222
82604,300,2014/2015,2,complete,1376,Laçi,970,Skënderbeu Korçë,0,0,2,1538.84,1668.53,2,33,33,0.0000,0.0000,0.0000,2,6.00,7.00,1.44,2.67,0,0,1,3,0,0,0,0.2941176470588236,-0.5347222222222222,0
82605,300,2014/2015,2,complete,1385,Apolonia Fier,62,Partizani Tirana,1,1,0,1488.73,1534.77,2,0,0,0.0000,0.0000,0.0000,2,6.00,6.00,1.17,1.67,1,0,0,1,0,0,0.0,0,0,-0.29411764705882354
82605,300,2014/2015,2,complete,62,Partizani Tirana,1385,Apolonia Fier,0,0,1,1534.77,1488.73,2,0,0,0.0000,0.0000,0.0000,2,6.00,6.00,1.67,1.17,0,1,1,0,0,0,0,0.0,-0.29411764705882354,0
82606,300,2014/2015,2,complete,1383,Tirana,1377,Flamurtari,1,1,0,1650.55,1541.16,2,0,33,0.0000,0.0000,0.0000,2,6.00,7.00,2.50,0.56,0,3,3,3,0,0,0.411764705882353,0,0,-0.1764705882352941
82606,300,2014/2015,2,complete,1377,Flamurtari,1383,Tirana,0,0,1,1541.16,1650.55,2,33,0,0.0000,0.0000,0.0000,2,7.00,6.00,0.56,2.50,3,0,3,3,0,0,0,0.411764705882353,-0.1764705882352941,0
82607,300,2014/2015,2,complete,1216,Kukësi,1384,Elbasani,1,3,0,1673.53,1385.02,2,0,0,0.0000,0.0000,0.0000,2,7.00,8.00,2.44,0.39,0,0,3,0,0,0,0.05882352941176472,0,0,0.0
82607,300,2014/2015,2,complete,1384,Elbasani,1216,Kukësi,0,0,3,1385.02,1673.53,2,0,0,0.0000,0.0000,0.0000,2,8.00,7.00,0.39,2.44,0,0,0,3,0,0,0,0.05882352941176472,0.0,0
82608,300,2014/2015,2,complete,1379,Teuta Durrës,1380,Vllaznia Shkodër,1,0,1,1643.70,1496.50,1,67,0,0.0000,0.0000,0.0000,1,7.00,7.00,1.28,0.78,0,0,0,0,0,0,0.5882352941176471,0,0,-0.11764705882352938
82608,300,2014/2015,2,complete,1380,Vllaznia Shkodër,1379,Teuta Durrës,0,1,0,1496.50,1643.70,1,0,67,0.0000,0.0000,0.0000,1,7.00,7.00,0.78,1.28,0,0,0,0,0,0,0,0.5882352941176471,-0.11764705882352938,0
82609,300,2014/2015,3,complete,1377,Flamurtari,1385,Apolonia Fier,1,3,0,1633.63,1399.79,2,0,0,0.0000,0.0000,0.0000,2,10.00,10.00,1.56,0.22,0,3,1.5,1.5,0,0,0.19607843137254904,0,0,-1.0
82609,300,2014/2015,3,complete,1385,Apolonia Fier,1377,Flamurtari,0,0,3,1399.79,1633.63,2,0,0,0.0000,0.0000,0.0000,2,10.00,10.00,0.22,1.56,3,0,1.5,1.5,0,0,0,0.19607843137254904,-1.0,0
82610,300,2014/2015,3,complete,1384,Elbasani,1379,Teuta Durrës,1,1,5,1480.83,1530.44,1,0,0,0.0000,0.0000,0.0000,1,9.00,9.00,0.39,0.33,0,0,0,0,0,0,0.0,0,0,-0.5490196078431372
82610,300,2014/2015,3,complete,1379,Teuta Durrës,1384,Elbasani,0,5,1,1530.44,1480.83,1,0,0,0.0000,0.0000,0.0000,1,9.00,9.00,0.33,0.39,0,0,0,0,0,0,0,0.0,-0.5490196078431372,0
82611,300,2014/2015,3,complete,1376,Laçi,1216,Kukësi,1,0,0,1631.74,1577.72,0,0,67,0.0000,0.0000,0.0000,0,10.00,9.00,2.39,1.72,3,1,0.5,3,0,0,0.545751633986928,0,0,-0.08496732026143794
82611,300,2014/2015,3,complete,1216,Kukësi,1376,Laçi,0,0,0,1577.72,1631.74,0,67,0,0.0000,0.0000,0.0000,0,9.00,10.00,1.72,2.39,1,3,3,0.5,0,0,0,0.545751633986928,-0.08496732026143794,0
