match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
45113,145,2014/2015,1,complete,911,İnter Bakı,907,Qabala,1,4,0,1693.57,1547.19,2,25,50,0.0000,0.0000,0.0000,2,16.00,30.00,2.44,1.88,0,0,0,0,0,0,-0.2222222222222222,0,0,-0.11111111111111116
45113,145,2014/2015,1,complete,907,Qabala,911,İnter Bakı,0,0,4,1547.19,1693.57,2,50,25,0.0000,0.0000,0.0000,2,30.00,16.00,1.88,2.44,0,0,0,0,0,0,0,-0.2222222222222222,-0.11111111111111116,0
45116,145,2014/2015,2,complete,915,Khazar Lankaran,912,Sumqayıt,1,0,1,1612.88,1396.17,1,75,0,0.0000,0.0000,0.0000,1,7.00,6.00,1.63,0.69,0,0,1,0,0,0,0.1257309941520468,0,0,-0.15497076023391812
45116,145,2014/2015,2,complete,912,Sumqayıt,915,Khazar Lankaran,0,1,0,1396.17,1612.88,1,0,75,0.0000,0.0000,0.0000,1,6.00,7.00,0.69,1.63,0,0,0,1,0,0,0,0.1257309941520468,-0.15497076023391812,0
45117,145,2014/2015,2,complete,75,Qarabağ,911,İnter Bakı,1,0,0,1704.07,1600.32,0,100,0,0.0000,0.0000,0.0000,0,6.00,6.00,2.31,1.50,0,0,3,3,0,0,0.14035087719298245,0,0,0.19298245614035087
45117,145,2014/2015,2,complete,911,İnter Bakı,75,Qarabağ,0,0,0,1600.32,1704.07,0,0,100,0.0000,0.0000,0.0000,0,6.00,6.00,1.50,2.31,0,0,3,3,0,0,0,0.14035087719298245,0.19298245614035087,0
45257,145,2014/2015,2,canceled,907,Qabala,918,Araz,1,0,0,1640.44,1397.31,0,0,0,0.0000,0.0000,0.0000,0,7.00,7.00,1.50,0.00,0,0,0,0,0,0,0.13450292397660824,0,0,0.0
45257,145,2014/2015,2,canceled,918,Araz,907,Qabala,0,0,0,1397.31,1640.44,0,0,0,0.0000,0.0000,0.0000,0,7.00,7.00,0.00,1.50,0,0,0,0,0,0,0,0.13450292397660824,0.0,0
45119,145,2014/2015,3,complete,917,Bakı,907,Qabala,1,0,2,1628.11,1535.36,1,0,75,0.0000,0.0000,0.0000,1,6.00,5.00,0.63,1.88,0,0,0,0,0,0,0.23976608187134507,0,0,-0.10526315789473684
45119,145,2014/2015,3,complete,907,Qabala,917,Bakı,0,2,0,1535.36,1628.11,1,75,0,0.0000,0.0000,0.0000,1,5.00,6.00,1.88,0.63,0,0,0,0,0,0,0,0.23976608187134507,-0.10526315789473684,0
