match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
28949,82,2016/2017,2,complete,531,KV Oostende,95,Club Brugge,1,1,0,1609.56,1646.51,2,0,75,4.3800,4.0500,1.8200,2,5.00,7.00,1.90,1.20,3,0,0,3,0,0,0.3619047619047619,0,0,-0.3761904761904762
28949,82,2016/2017,2,complete,95,Club Brugge,531,KV Oostende,0,0,1,1646.51,1609.56,2,75,0,1.8200,4.0500,4.3800,2,7.00,5.00,1.20,1.90,0,3,3,0,0,0,0,0.3619047619047619,-0.3761904761904762,0
28950,82,2016/2017,2,complete,538,Royal Excel Mouscron,529,Sporting Charleroi,1,0,1,1527.40,1532.60,1,0,100,2.7800,3.4000,2.6900,1,7.00,6.00,0.93,1.10,0,0,0,3,0,0,-0.011695906432748537,0,0,-0.028571428571428525
28950,82,2016/2017,2,complete,529,Sporting Charleroi,538,Royal Excel Mouscron,0,1,0,1532.60,1527.40,1,100,0,2.6900,3.4000,2.7800,1,6.00,7.00,1.10,0.93,0,0,3,0,0,0,0,-0.011695906432748537,-0.028571428571428525,0
28951,82,2016/2017,2,complete,530,AS Eupen,537,KV Mechelen,1,0,2,1527.47,1462.49,1,0,0,2.4100,3.5600,3.0300,1,7.00,7.00,1.13,1.13,0,0,0,0,0,0,0.0,0,0,-0.19883040935672514
28951,82,2016/2017,2,complete,537,KV Mechelen,530,AS Eupen,0,2,0,1462.49,1527.47,1,0,0,3.0300,3.5600,2.4100,1,7.00,7.00,1.13,1.13,0,0,0,0,0,0,0,0.0,-0.19883040935672514,0
28952,82,2016/2017,2,complete,526,Waasland-Beveren,535,Zulte-Waregem,1,0,2,1526.54,1466.82,1,50,50,3.0100,3.6200,2.4000,1,6.00,7.00,1.20,1.20,0,0,0,3,0,0,0.0146198830409357,0,0,-0.17857142857142855
28952,82,2016/2017,2,complete,535,Zulte-Waregem,526,Waasland-Beveren,0,2,0,1466.82,1526.54,1,50,50,2.4000,3.6200,3.0100,1,7.00,6.00,1.20,1.20,0,0,3,0,0,0,0,0.0146198830409357,-0.17857142857142855,0
28953,82,2016/2017,2,complete,527,Standard Liège,532,Sint-Truiden,1,2,0,1606.66,1416.12,2,0,100,1.4400,5.0100,7.7600,2,6.00,7.00,1.73,0.33,0,0,1,3,0,0,0.2923976608187135,0,0,-0.04093567251461988
28953,82,2016/2017,2,complete,532,Sint-Truiden,527,Standard Liège,0,0,2,1416.12,1606.66,2,100,0,7.7600,5.0100,1.4400,2,7.00,6.00,0.33,1.73,0,0,3,1,0,0,0,0.2923976608187135,-0.04093567251461988,0
