match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
200584,694,2014/2015,1,complete,3615,Lovech,3604,CSKA Sofia,1,0,1,1692.08,1602.99,1,0,75,0.0000,0.0000,0.0000,1,2.00,2.00,2.38,1.25,0,0,0,0,0,0,-0.052631578947368474,0,0,-0.26315789473684215
200584,694,2014/2015,1,complete,3604,CSKA Sofia,3615,Lovech,0,1,0,1602.99,1692.08,1,75,0,0.0000,0.0000,0.0000,1,2.00,2.00,1.25,2.38,0,0,0,0,0,0,0,-0.052631578947368474,-0.26315789473684215,0
200586,694,2014/2015,2,complete,3611,Cherno More,111,Ludogorets,1,0,0,1621.09,1643.16,0,25,25,0.0000,0.0000,0.0000,0,5.00,3.00,1.69,1.44,0,0,1,0,0,0,0.32631578947368417,0,0,-0.1868421052631578
200586,694,2014/2015,2,complete,111,Ludogorets,3611,Cherno More,0,0,0,1643.16,1621.09,0,25,25,0.0000,0.0000,0.0000,0,3.00,5.00,1.44,1.69,0,0,0,1,0,0,0,0.32631578947368417,-0.1868421052631578,0
200587,694,2014/2015,2,complete,3618,Marek,3619,Haskovo,1,2,1,1432.75,1351.92,2,50,50,0.0000,0.0000,0.0000,2,7.00,7.00,0.88,0.13,0,0,0,3,0,0,0.0,0,0,-1.0
200587,694,2014/2015,2,complete,3619,Haskovo,3618,Marek,0,1,2,1351.92,1432.75,2,50,50,0.0000,0.0000,0.0000,2,7.00,7.00,0.13,0.88,0,0,3,0,0,0,0,0.0,-1.0,0
200588,694,2014/2015,2,complete,3606,Lokomotiv Plovdiv,3603,Slavia Sofia,1,1,1,1574.55,1511.03,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,1.13,1.25,0,0,1,3,0,0,0.17368421052631577,0,0,-0.3368421052631579
200588,694,2014/2015,2,complete,3603,Slavia Sofia,3606,Lokomotiv Plovdiv,0,1,1,1511.03,1574.55,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,1.25,1.13,0,0,3,1,0,0,0,0.17368421052631577,-0.3368421052631579,0
200589,694,2014/2015,2,complete,3604,CSKA Sofia,3605,Levski Sofia,1,2,0,1715.01,1543.69,2,100,0,0.0000,0.0000,0.0000,2,2.00,8.00,2.00,1.44,0,0,3,1,0,0,0.23421052631578948,0,0,0.07631578947368417
200589,694,2014/2015,2,complete,3605,Levski Sofia,3604,CSKA Sofia,0,0,2,1543.69,1715.01,2,0,100,0.0000,0.0000,0.0000,2,8.00,2.00,1.44,2.00,0,0,1,3,0,0,0,0.23421052631578948,0.07631578947368417,0
200590,694,2014/2015,2,complete,3607,Beroe,3599,Botev Plovdiv,1,1,1,1672.69,1580.26,0,50,0,0.0000,0.0000,0.0000,0,7.00,2.00,1.81,0.81,0,1,1,3,0,0,0.22894736842105268,0,0,-0.43684210526315786
200590,694,2014/2015,2,complete,3599,Botev Plovdiv,3607,Beroe,0,1,1,1580.26,1672.69,0,0,50,0.0000,0.0000,0.0000,0,2.00,7.00,0.81,1.81,1,0,3,1,0,0,0,0.22894736842105268,-0.43684210526315786,0
200591,694,2014/2015,2,complete,3620,Lokomotiv Sofia,3615,Lovech,1,2,0,1589.03,1580.06,2,0,100,0.0000,0.0000,0.0000,2,8.00,3.00,1.94,1.00,0,0,0,0,0,0,0.2263157894736842,0,0,0.07894736842105265
200591,694,2014/2015,2,complete,3615,Lovech,3620,Lokomotiv Sofia,0,0,2,1580.06,1589.03,2,100,0,0.0000,0.0000,0.0000,2,3.00,8.00,1.00,1.94,0,0,0,0,0,0,0,0.2263157894736842,0.07894736842105265,0
200592,694,2014/2015,3,complete,3619,Haskovo,3606,Lokomotiv Plovdiv,1,1,2,1443.76,1473.10,1,0,0,0.0000,0.0000,0.0000,1,6.00,6.00,0.81,0.88,1,3,1.5,1,0,0,1.0,0,0,-0.15000000000000002
200592,694,2014/2015,3,complete,3606,Lokomotiv Plovdiv,3619,Haskovo,0,2,1,1473.10,1443.76,1,0,0,0.0000,0.0000,0.0000,1,6.00,6.00,0.88,0.81,3,1,1,1.5,0,0,0,1.0,-0.15000000000000002,0
200593,694,2014/2015,3,complete,3605,Levski Sofia,3620,Lokomotiv Sofia,1,1,0,1637.44,1498.82,2,0,50,0.0000,0.0000,0.0000,2,6.00,5.00,2.06,1.50,0,1,0.5,1.5,0,0,-0.04999999999999999,0,0,-0.25000000000000006
200593,694,2014/2015,3,complete,3620,Lokomotiv Sofia,3605,Levski Sofia,0,0,1,1498.82,1637.44,2,50,0,0.0000,0.0000,0.0000,2,5.00,6.00,1.50,2.06,1,0,1.5,0.5,0,0,0,-0.04999999999999999,-0.25000000000000006,0
200594,694,2014/2015,3,complete,111,Ludogorets,3618,Marek,1,3,0,1742.65,1340.91,2,0,0,0.0000,0.0000,0.0000,2,2.00,7.00,2.50,0.38,0,0,0.5,1.5,0,0,0.21303258145363402,0,0,-1.0
200594,694,2014/2015,3,complete,3618,Marek,111,Ludogorets,0,0,3,1340.91,1742.65,2,0,0,0.0000,0.0000,0.0000,2,7.00,2.00,0.38,2.50,0,0,1.5,0.5,0,0,0,0.21303258145363402,-1.0,0
200595,694,2014/2015,3,complete,3599,Botev Plovdiv,3611,Cherno More,1,2,1,1682.36,1521.60,2,50,25,0.0000,0.0000,0.0000,2,6.00,8.00,1.81,1.44,1,3,2,1,0,0,0.44999999999999996,0,0,-0.3
200595,694,2014/2015,3,complete,3611,Cherno More,3599,Botev Plovdiv,0,1,2,1521.60,1682.36,2,25,50,0.0000,0.0000,0.0000,2,8.00,6.00,1.44,1.81,3,1,1,2,0,0,0,0.44999999999999996,-0.3,0
200596,694,2014/2015,3,complete,3603,Slavia Sofia,3604,CSKA Sofia,1,2,2,1612.48,1621.26,0,0,100,0.0000,0.0000,0.0000,0,7.00,6.00,1.44,1.25,3,3,2,3,0,0,0.35,0,0,-0.24999999999999994
200596,694,2014/2015,3,complete,3604,CSKA Sofia,3603,Slavia Sofia,0,2,2,1621.26,1612.48,0,100,0,0.0000,0.0000,0.0000,0,6.00,7.00,1.25,1.44,3,3,3,2,0,0,0,0.35,-0.24999999999999994,0
200597,694,2014/2015,3,complete,3615,Lovech,3607,Beroe,1,2,1,1670.26,1570.59,2,100,0,0.0000,0.0000,0.0000,2,6.00,7.00,2.38,1.63,0,0,0,1,0,0,-0.050000000000000044,0,0,-0.19799498746867172
