match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
1012983,2403,2019/2020,28,complete,883,Shirak,96,Alashkert,1,2,4,1678.83,1581.81,1,32,39,2.2500,2.9000,2.7500,1,7.00,6.00,2.07,1.93,1.85,2.23,1.74,1.63,1.58,1.46,0.21999999999999997,0,0,-0.06000000000000005
1012983,2403,2019/2020,28,complete,96,Alashkert,883,Shirak,0,4,2,1581.81,1678.83,1,39,32,2.7500,2.9000,2.2500,1,6.00,7.00,1.93,2.07,2.23,1.85,1.63,1.74,1.46,1.58,0,0.21999999999999997,-0.06000000000000005,0
1012984,2403,2019/2020,28,canceled,1361,Lori,885,Ararat,1,0,0,1631.45,1371.82,0,14,29,0.0000,0.0000,0.0000,0,6.00,7.00,1.92,1.00,1,1.92,1.48,1.15,1.68,1.21,0.18160919540229886,0,0,-0.04000000000000001
1012984,2403,2019/2020,28,canceled,885,Ararat,1361,Lori,0,0,0,1371.82,1631.45,0,29,14,0.0000,0.0000,0.0000,0,7.00,6.00,1.00,1.92,1.92,1,1.15,1.48,1.21,1.68,0,0.18160919540229886,-0.04000000000000001,0
1012985,2403,2019/2020,28,complete,1360,Artsakh,1362,FC Avan Academy,0,0,2,1538.76,1715.77,2,18,55,3.2000,3.4000,2.0000,2,7.00,7.00,1.14,2.29,2.23,1.23,1.78,1.81,1.56,1.59,0,-0.04942528735632179,-0.2597701149425288,0
1012985,2403,2019/2020,28,complete,1362,FC Avan Academy,1360,Artsakh,1,2,0,1715.77,1538.76,2,55,18,2.0000,3.4000,3.2000,2,7.00,7.00,2.29,1.14,1.23,2.23,1.81,1.78,1.59,1.56,-0.04942528735632179,0,0,-0.2597701149425288
1013206,4384,2019/2020,33,complete,577,Rheindorf Altach,579,Austria Wien,0,0,1,1428.27,1604.42,2,45,36,3.0500,3.5000,2.2500,2,4.00,4.00,1.15,1.46,1.47,1.19,1.19,1.47,1.42,1.77,0,0.15999999999999998,-0.019999999999999962,0
1013206,4384,2019/2020,33,complete,579,Austria Wien,577,Rheindorf Altach,1,1,0,1604.42,1428.27,2,36,45,2.2500,3.5000,3.0500,2,4.00,4.00,1.46,1.15,1.19,1.47,1.47,1.19,1.77,1.42,0.15999999999999998,0,0,-0.019999999999999962
1013207,4384,2019/2020,34,complete,579,Austria Wien,599,Hartberg,1,2,3,1610.57,1442.52,1,75,0,1.8800,3.8000,3.5000,1,2.00,6.00,1.46,1.35,1.31,1.52,1.52,1.31,1.77,1.43,0.18,0,0,0.0
1013207,4384,2019/2020,34,complete,599,Hartberg,579,Austria Wien,0,3,2,1442.52,1610.57,1,0,75,3.5000,3.8000,1.8800,1,6.00,2.00,1.35,1.46,1.52,1.31,1.31,1.52,1.43,1.77,0,0.18,0.0,0
1013208,4384,2019/2020,35,complete,579,Austria Wien,599,Hartberg,0,0,0,1496.88,1556.21,0,60,20,2.5000,3.8500,2.5000,0,4.00,4.00,1.46,1.35,1.36,1.47,1.47,1.36,1.54,1.45,0,-0.019886363636363646,-0.15999999999999998,0
1013208,4384,2019/2020,35,complete,599,Hartberg,579,Austria Wien,1,0,0,1556.21,1496.88,0,20,60,2.5000,3.8500,2.5000,0,4.00,4.00,1.35,1.46,1.47,1.36,1.36,1.47,1.45,1.54,-0.019886363636363646,0,0,-0.15999999999999998
1017022,2403,2019/2020,20,complete,10519,Yerevan,881,Gandzasar,1,0,3,1406.46,1483.66,1,0,100,0.0000,0.0000,0.0000,1,8.00,7.00,0.00,1.00,0.6,0,0,0.95,0.92,1.19,0.0,0,0,-0.14
1017022,2403,2019/2020,20,complete,881,Gandzasar,10519,Yerevan,0,3,0,1483.66,1406.46,1,100,0,0.0000,0.0000,0.0000,1,7.00,8.00,1.00,0.00,0,0.6,0.95,0,1.19,0.92,0,0.0,-0.14,0
1017023,2403,2019/2020,21,complete,10519,Yerevan,884,Banants,0,0,3,1298.22,1653.16,2,0,100,0.0000,0.0000,0.0000,2,4.00,3.00,0.00,1.58,1.6,0,0,1.45,0.78,1.22,0,0.12,0.0,0
