match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
108270,403,2014/2015,2,complete,1859,Lokomotiva Zagreb,122,Dinamo Zagreb,1,3,4,1607.52,1655.07,1,0,75,0.0000,0.0000,0.0000,1,5.00,3.00,1.33,2.00,0,0,3,3,0,0,0.023391812865497075,0,0,-0.4473684210526315
108270,403,2014/2015,2,complete,122,Dinamo Zagreb,1859,Lokomotiva Zagreb,0,4,3,1655.07,1607.52,1,75,0,0.0000,0.0000,0.0000,1,3.00,5.00,2.00,1.33,0,0,3,3,0,0,0,0.023391812865497075,-0.4473684210526315,0
108271,403,2014/2015,2,complete,1861,Slaven Koprivnica,1869,Zagreb,1,3,2,1529.50,1425.62,2,0,0,0.0000,0.0000,0.0000,2,7.00,6.00,1.94,1.00,0,0,0,0,0,0,0.2807017543859649,0,0,0.0
108271,403,2014/2015,2,complete,1869,Zagreb,1861,Slaven Koprivnica,0,2,3,1425.62,1529.50,2,0,0,0.0000,0.0000,0.0000,2,6.00,7.00,1.00,1.94,0,0,0,0,0,0,0,0.2807017543859649,0.0,0
108272,403,2014/2015,2,complete,1870,Zadar,1864,Osijek,1,2,1,1508.85,1429.79,2,50,25,0.0000,0.0000,0.0000,2,5.00,7.00,1.22,0.44,0,0,0,0,0,0,-0.0146198830409357,0,0,-0.3128654970760234
108272,403,2014/2015,2,complete,1864,Osijek,1870,Zadar,0,1,2,1429.79,1508.85,2,25,50,0.0000,0.0000,0.0000,2,7.00,5.00,0.44,1.22,0,0,0,0,0,0,0,-0.0146198830409357,-0.3128654970760234,0
108273,403,2014/2015,2,complete,1215,Rijeka,1863,Hajduk Split,1,4,2,1719.28,1540.70,2,25,0,0.0000,0.0000,0.0000,2,3.00,3.00,2.50,1.17,0,0,3,1,0,0,0.032163742690058506,0,0,-0.24561403508771934
108273,403,2014/2015,2,complete,1863,Hajduk Split,1215,Rijeka,0,2,4,1540.70,1719.28,2,0,25,0.0000,0.0000,0.0000,2,3.00,3.00,1.17,2.50,0,0,1,3,0,0,0,0.032163742690058506,-0.24561403508771934,0
108274,403,2014/2015,2,complete,1868,Split,1857,Istra 1961,1,1,1,1617.34,1472.68,0,25,50,0.0000,0.0000,0.0000,0,4.00,7.00,1.33,0.50,1,0,3,1,0,0,0.2923976608187135,0,0,0.19883040935672514
108274,403,2014/2015,2,complete,1857,Istra 1961,1868,Split,0,1,1,1472.68,1617.34,0,50,25,0.0000,0.0000,0.0000,0,7.00,4.00,0.50,1.33,0,1,1,3,0,0,0,0.2923976608187135,0.19883040935672514,0
108275,403,2014/2015,3,complete,1869,Zagreb,1859,Lokomotiva Zagreb,1,2,0,1517.96,1498.61,2,0,0,0.0000,0.0000,0.0000,2,6.00,7.00,1.56,1.22,3,0,0,1.5,0,0,0.0,0,0,0.0
108275,403,2014/2015,3,complete,1859,Lokomotiva Zagreb,1869,Zagreb,0,0,2,1498.61,1517.96,2,0,0,0.0000,0.0000,0.0000,2,7.00,6.00,1.22,1.56,0,3,1.5,0,0,0,0,0.0,0.0,0
108276,403,2014/2015,3,complete,122,Dinamo Zagreb,1870,Zadar,1,5,0,1763.98,1417.05,2,75,0,0.0000,0.0000,0.0000,2,3.00,7.00,2.89,0.56,0,3,3,1.5,0,0,0.42105263157894735,0,0,-0.0222222222222222
108276,403,2014/2015,3,complete,1870,Zadar,122,Dinamo Zagreb,0,0,5,1417.05,1763.98,2,0,75,0.0000,0.0000,0.0000,2,7.00,3.00,0.56,2.89,3,0,1.5,3,0,0,0,0.42105263157894735,-0.0222222222222222,0
108277,403,2014/2015,3,complete,1864,Osijek,1868,Split,1,1,1,1521.59,1514.13,0,25,50,0.0000,0.0000,0.0000,0,7.00,2.00,1.56,0.94,3,0,0,2,0,0,0.3157894736842105,0,0,-0.2631578947368421
108277,403,2014/2015,3,complete,1868,Split,1864,Osijek,0,1,1,1514.13,1521.59,0,50,25,0.0000,0.0000,0.0000,0,2.00,7.00,0.94,1.56,0,3,2,0,0,0,0,0.3157894736842105,-0.2631578947368421,0
108278,403,2014/2015,3,complete,1863,Hajduk Split,1861,Slaven Koprivnica,1,2,0,1634.59,1437.15,2,50,25,0.0000,0.0000,0.0000,2,3.00,8.00,1.78,0.39,0,1,0.5,1.5,0,0,0.26315789473684215,0,0,-0.3157894736842105
108278,403,2014/2015,3,complete,1861,Slaven Koprivnica,1863,Hajduk Split,0,0,2,1437.15,1634.59,2,25,50,0.0000,0.0000,0.0000,2,8.00,3.00,0.39,1.78,1,0,1.5,0.5,0,0,0,0.26315789473684215,-0.3157894736842105,0
108279,403,2014/2015,3,complete,1857,Istra 1961,1215,Rijeka,1,0,1,1575.89,1625.39,1,0,75,0.0000,0.0000,0.0000,1,7.00,4.00,1.44,1.67,3,0,1,3,0,0,-0.1777777777777778,0,0,-0.05263157894736836
