match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
11384,32,2016/2017,2,complete,269,Barnet,263,Accrington Stanley,1,2,0,1528.29,1514.72,2,0,50,2.7400,3.3600,2.7600,2,3.00,3.00,1.17,1.22,0,0,0,3,0,0,0.3913043478260869,0,0,0.06166666666666665
11384,32,2016/2017,2,complete,263,Accrington Stanley,269,Barnet,0,0,2,1514.72,1528.29,2,50,0,2.7600,3.3600,2.7400,2,3.00,3.00,1.22,1.17,0,0,3,0,0,0,0,0.3913043478260869,0.06166666666666665,0
11385,32,2016/2017,2,complete,257,Carlisle United,264,Plymouth Argyle,1,1,0,1546.28,1465.37,2,20,40,2.4800,3.4000,3.0500,2,3.00,3.00,1.58,1.96,0,0,1,0,0,0,0.14311594202898548,0,0,-0.040000000000000036
11385,32,2016/2017,2,complete,264,Plymouth Argyle,257,Carlisle United,0,0,1,1465.37,1546.28,2,40,20,3.0500,3.4000,2.4800,2,3.00,3.00,1.96,1.58,0,0,0,1,0,0,0,0.14311594202898548,-0.040000000000000036,0
11386,32,2016/2017,2,complete,253,Colchester United,261,Cambridge United,1,2,0,1422.08,1457.36,2,0,0,2.5300,3.4500,2.9400,2,3.00,3.00,2.00,1.48,0,0,1,0,0,0,0.0,0,0,-0.08695652173913043
11386,32,2016/2017,2,complete,261,Cambridge United,253,Colchester United,0,0,2,1457.36,1422.08,2,0,0,2.9400,3.4500,2.5300,2,3.00,3.00,1.48,2.00,0,0,0,1,0,0,0,0.0,-0.08695652173913043,0
11387,32,2016/2017,2,complete,252,Crewe Alexandra,272,Portsmouth,1,0,0,1401.48,1472.35,0,0,100,3.2800,3.4100,2.3400,0,3.00,3.00,1.35,1.78,0,0,3,1,0,0,-1.0,0,0,0.05833333333333329
11387,32,2016/2017,2,complete,272,Portsmouth,252,Crewe Alexandra,0,0,0,1472.35,1401.48,0,100,0,2.3400,3.4100,3.2800,0,3.00,3.00,1.78,1.35,0,0,1,3,0,0,0,-1.0,0.05833333333333329,0
11388,32,2016/2017,2,complete,231,Doncaster Rovers,254,Crawley Town,1,1,1,1442.65,1322.09,0,25,25,1.8200,3.7100,4.8500,0,3.00,3.00,2.09,0.87,0,0,0,3,0,0,0.0,0,0,-0.15760869565217392
11388,32,2016/2017,2,complete,254,Crawley Town,231,Doncaster Rovers,0,1,1,1322.09,1442.65,0,25,25,4.8500,3.7100,1.8200,0,3.00,3.00,0.87,2.09,0,0,3,0,0,0,0,0.0,-0.15760869565217392,0
11389,32,2016/2017,2,complete,268,Exeter City,262,Hartlepool United,1,1,2,1519.58,1359.95,1,50,25,2.1900,3.4600,3.5800,1,3.00,3.00,1.33,0.74,0,0,0,1,0,0,-0.19746376811594202,0,0,-0.1141304347826087
11389,32,2016/2017,2,complete,262,Hartlepool United,268,Exeter City,0,2,1,1359.95,1519.58,1,25,50,3.5800,3.4600,2.1900,1,3.00,3.00,0.74,1.33,0,0,1,0,0,0,0,-0.19746376811594202,-0.1141304347826087,0
11390,32,2016/2017,2,complete,255,Leyton Orient,265,Newport County,1,0,1,1539.45,1328.78,1,100,0,1.6500,3.9900,5.8800,1,3.00,3.00,0.57,0.96,0,0,1,0,0,0,0.1449275362318841,0,0,0.09420289855072464
11390,32,2016/2017,2,complete,265,Newport County,255,Leyton Orient,0,1,0,1328.78,1539.45,1,0,100,5.8800,3.9900,1.6500,1,3.00,3.00,0.96,0.57,0,0,0,1,0,0,0,0.1449275362318841,0.09420289855072464,0
11391,32,2016/2017,2,complete,271,Luton Town,230,Yeovil Town,1,1,1,1550.39,1359.39,0,0,50,1.8000,3.7600,4.9100,0,2.00,3.00,1.71,0.78,0,0,3,3,0,0,-0.2373188405797101,0,0,-0.0742753623188406
11391,32,2016/2017,2,complete,230,Yeovil Town,271,Luton Town,0,1,1,1359.39,1550.39,0,50,0,4.9100,3.7600,1.8000,0,3.00,2.00,0.78,1.71,0,0,3,3,0,0,0,-0.2373188405797101,-0.0742753623188406,0
11392,32,2016/2017,2,complete,267,Mansfield Town,260,Cheltenham Town,1,1,1,1533.85,1337.15,0,0,0,2.4800,3.3900,3.0600,0,3.00,3.00,1.48,0.83,0,0,3,1,0,0,-0.15398550724637677,0,0,0.0
11392,32,2016/2017,2,complete,260,Cheltenham Town,267,Mansfield Town,0,1,1,1337.15,1533.85,0,0,0,3.0600,3.3900,2.4800,0,3.00,3.00,0.83,1.48,0,0,1,3,0,0,0,-0.15398550724637677,0.0,0
11393,32,2016/2017,2,complete,270,Morecambe,228,Blackpool,1,2,1,1418.53,1315.82,2,100,0,2.8300,3.3800,2.6600,2,3.00,3.00,0.96,1.33,0,0,0,3,0,0,0.0960144927536232,0,0,-1.0
11393,32,2016/2017,2,complete,228,Blackpool,270,Morecambe,0,1,2,1315.82,1418.53,2,0,100,2.6600,3.3800,2.8300,2,3.00,3.00,1.33,0.96,0,0,3,0,0,0,0,0.0960144927536232,-1.0,0
11394,32,2016/2017,2,complete,256,Notts County,258,Stevenage,1,1,1,1428.20,1360.53,0,56,44,2.1400,3.4700,3.7100,0,3.00,3.00,1.22,1.43,0,0,0,0,0,0,0.18297101449275363,0,0,-0.03260869565217392
11394,32,2016/2017,2,complete,258,Stevenage,256,Notts County,0,1,1,1360.53,1428.20,0,44,56,3.7100,3.4700,2.1400,0,3.00,3.00,1.43,1.22,0,0,0,0,0,0,0,0.18297101449275363,-0.03260869565217392,0
11395,32,2016/2017,2,complete,266,Wycombe Wanderers,273,Grimsby Town,1,2,1,1501.87,1344.59,2,0,0,2.4100,3.3600,3.2000,2,3.00,3.00,1.70,1.26,0,0,0,3,0,0,0.05797101449275366,0,0,-1.0
11395,32,2016/2017,2,complete,273,Grimsby Town,266,Wycombe Wanderers,0,1,2,1344.59,1501.87,2,0,0,3.2000,3.3600,2.4100,2,3.00,3.00,1.26,1.70,0,0,3,0,0,0,0,0.05797101449275366,-1.0,0
11396,32,2016/2017,3,complete,257,Carlisle United,260,Cheltenham Town,1,1,1,1554.43,1341.39,0,0,0,2.1100,3.5000,3.7600,0,3.00,3.00,1.58,0.83,1,3,2,1,0,0,0.16666666666666663,0,0,0.0
11396,32,2016/2017,3,complete,260,Cheltenham Town,257,Carlisle United,0,1,1,1341.39,1554.43,0,0,0,3.7600,3.5000,2.1100,0,3.00,3.00,0.83,1.58,3,1,1,2,0,0,0,0.16666666666666663,0.0,0
11397,32,2016/2017,3,complete,253,Colchester United,273,Grimsby Town,1,3,2,1432.89,1338.06,2,0,0,2.5500,3.4400,2.9200,2,3.00,3.00,2.00,1.26,0,3,2,1.5,0,0,1.0,0,0,-1.0
11397,32,2016/2017,3,complete,273,Grimsby Town,253,Colchester United,0,2,3,1338.06,1432.89,2,0,0,2.9200,3.4400,2.5500,2,3.00,3.00,1.26,2.00,3,0,1.5,2,0,0,0,1.0,-1.0,0
11398,32,2016/2017,3,complete,252,Crewe Alexandra,262,Hartlepool United,1,3,3,1403.10,1373.47,0,67,33,2.5800,3.4300,2.8900,0,3.00,3.00,1.35,0.74,3,1,2,2,0,0,-1.0,0,0,-0.08333333333333331
11398,32,2016/2017,3,complete,262,Hartlepool United,252,Crewe Alexandra,0,3,3,1373.47,1403.10,0,33,67,2.8900,3.4300,2.5800,0,3.00,3.00,0.74,1.35,1,3,2,2,0,0,0,-1.0,-0.08333333333333331,0
11399,32,2016/2017,3,complete,231,Doncaster Rovers,261,Cambridge United,1,1,0,1439.94,1446.55,2,100,0,2.3100,3.4200,3.3300,2,3.00,3.00,2.09,1.48,0,1,0.5,0,0,0,0.0,0,0,-0.10144927536231885
