match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
96116,348,2014,2,complete,965,Tallinna FC Levadia,1637,Sillamäe Kalev,1,2,2,1762.26,1624.61,0,50,25,0.0000,0.0000,0.0000,0,6.00,6.00,2.17,2.33,3,0,0,3,0,0,0.17251461988304095,0,0,-0.14327485380116955
96116,348,2014,2,complete,1637,Sillamäe Kalev,965,Tallinna FC Levadia,0,2,2,1624.61,1762.26,0,25,50,0.0000,0.0000,0.0000,0,6.00,6.00,2.33,2.17,0,3,3,0,0,0,0,0.17251461988304095,-0.14327485380116955,0
96117,348,2014,2,complete,1643,Lokomotiv,988,Nõmme Kalju,1,0,2,1470.26,1647.46,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,0.67,2.17,0,0,0,1,0,0,0.0,0,0,-0.2865497076023391
96117,348,2014,2,complete,988,Nõmme Kalju,1643,Lokomotiv,0,2,0,1647.46,1470.26,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,2.17,0.67,0,0,1,0,0,0,0,0.0,-0.2865497076023391,0
96119,348,2014,2,complete,88,Tallinna FC Flora,1635,Paide,1,5,0,1676.70,1482.80,2,75,0,0.0000,0.0000,0.0000,2,7.00,7.00,2.17,1.11,3,0,3,3,0,0,-0.07602339181286544,0,0,-0.023391812865497075
96119,348,2014,2,complete,1635,Paide,88,Tallinna FC Flora,0,0,5,1482.80,1676.70,2,0,75,0.0000,0.0000,0.0000,2,7.00,7.00,1.11,2.17,0,3,3,3,0,0,0,-0.07602339181286544,-0.023391812865497075,0
96121,348,2014,3,complete,88,Tallinna FC Flora,1636,Tammeka,1,3,0,1682.51,1401.71,2,75,0,0.0000,0.0000,0.0000,2,6.00,6.00,2.17,0.78,0,3,3,0,0,0,-0.05263157894736836,0,0,-0.011695906432748537
96121,348,2014,3,complete,1636,Tammeka,88,Tallinna FC Flora,0,0,3,1401.71,1682.51,2,0,75,0.0000,0.0000,0.0000,2,6.00,6.00,0.78,2.17,3,0,0,3,0,0,0,-0.05263157894736836,-0.011695906432748537,0
96122,348,2014,3,complete,1635,Paide,988,Nõmme Kalju,1,0,6,1576.99,1653.59,1,0,100,0.0000,0.0000,0.0000,1,6.00,7.00,0.83,2.17,3,0,1.5,2,0,0,0.0444444444444444,0,0,-0.26315789473684204
96122,348,2014,3,complete,988,Nõmme Kalju,1635,Paide,0,6,0,1653.59,1576.99,1,100,0,0.0000,0.0000,0.0000,1,7.00,6.00,2.17,0.83,0,3,2,1.5,0,0,0,0.0444444444444444,-0.26315789473684204,0
96123,348,2014,3,complete,1644,Tallinna Kalev,965,Tallinna FC Levadia,1,0,8,1514.83,1659.19,1,0,100,0.0000,0.0000,0.0000,1,7.00,7.00,0.44,2.50,0,0,0.5,0.5,0,0,0.10526315789473684,0,0,-0.12777777777777777
96123,348,2014,3,complete,965,Tallinna FC Levadia,1644,Tallinna Kalev,0,8,0,1659.19,1514.83,1,100,0,0.0000,0.0000,0.0000,1,7.00,7.00,2.50,0.44,0,0,0.5,0.5,0,0,0,0.10526315789473684,-0.12777777777777777,0
96124,348,2014,3,complete,1637,Sillamäe Kalev,1218,FCI Tallinn,1,3,1,1727.67,1458.08,2,75,25,0.0000,0.0000,0.0000,2,7.00,6.00,2.06,1.83,1,0,2,2,0,0,0.17222222222222217,0,0,-0.05263157894736842
96124,348,2014,3,complete,1218,FCI Tallinn,1637,Sillamäe Kalev,0,1,3,1458.08,1727.67,2,25,75,0.0000,0.0000,0.0000,2,6.00,7.00,1.83,2.06,0,1,2,2,0,0,0,0.17222222222222217,-0.05263157894736842,0
96125,348,2014,3,complete,1638,Trans,1643,Lokomotiv,1,5,0,1533.27,1364.13,2,0,0,0.0000,0.0000,0.0000,2,7.00,7.00,1.00,0.33,0,1,1,0,0,0,0.03801169590643272,0,0,0.0
96125,348,2014,3,complete,1643,Lokomotiv,1638,Trans,0,0,5,1364.13,1533.27,2,0,0,0.0000,0.0000,0.0000,2,7.00,7.00,0.33,1.00,1,0,0,1,0,0,0,0.03801169590643272,0.0,0
96126,348,2014,4,complete,1218,FCI Tallinn,1635,Paide,1,1,1,1553.60,1468.73,0,0,100,0.0000,0.0000,0.0000,0,6.00,6.00,1.72,1.11,1.5,3,1.33,1,0,0,0.06578947368421051,0,0,-0.021052631578947323
96126,348,2014,4,complete,1635,Paide,1218,FCI Tallinn,0,1,1,1468.73,1553.60,0,100,0,0.0000,0.0000,0.0000,0,6.00,6.00,1.11,1.72,3,1.5,1,1.33,0,0,0,0.06578947368421051,-0.021052631578947323,0
96127,348,2014,4,complete,1637,Sillamäe Kalev,1638,Trans,1,1,1,1732.16,1439.56,0,100,0,0.0000,0.0000,0.0000,0,7.00,6.00,2.06,0.56,0,3,2.33,2,0,0,0.1868421052631578,0,0,-0.07222222222222219
96127,348,2014,4,complete,1638,Trans,1637,Sillamäe Kalev,0,1,1,1439.56,1732.16,0,0,100,0.0000,0.0000,0.0000,0,6.00,7.00,0.56,2.06,3,0,2,2.33,0,0,0,0.1868421052631578,-0.07222222222222219,0
96128,348,2014,4,complete,965,Tallinna FC Levadia,1636,Tammeka,1,2,0,1765.99,1397.40,2,75,25,0.0000,0.0000,0.0000,2,7.00,7.00,2.17,0.78,0,0.5,1.33,0,0,0,0.11315789473684212,0,0,-0.0222222222222222
96128,348,2014,4,complete,1636,Tammeka,965,Tallinna FC Levadia,0,0,2,1397.40,1765.99,2,25,75,0.0000,0.0000,0.0000,2,7.00,7.00,0.78,2.17,0.5,0,0,1.33,0,0,0,0.11315789473684212,-0.0222222222222222,0
96129,348,2014,4,complete,1643,Lokomotiv,1644,Tallinna Kalev,1,0,1,1457.84,1408.04,1,0,0,0.0000,0.0000,0.0000,1,6.00,7.00,0.67,0.22,1,0,0,0.33,0,0,0.0,0,0,-0.08947368421052632
96129,348,2014,4,complete,1644,Tallinna Kalev,1643,Lokomotiv,0,1,0,1408.04,1457.84,1,0,0,0.0000,0.0000,0.0000,1,7.00,6.00,0.22,0.67,0,1,0.33,0,0,0,0,0.0,-0.08947368421052632,0
96130,348,2014,4,complete,988,Nõmme Kalju,88,Tallinna FC Flora,1,1,1,1761.84,1586.81,0,50,25,0.0000,0.0000,0.0000,0,7.00,7.00,2.22,2.22,3,1,2.33,3,0,0,0.2421052631578947,0,0,0.03157894736842104
96130,348,2014,4,complete,88,Tallinna FC Flora,988,Nõmme Kalju,0,1,1,1586.81,1761.84,0,25,50,0.0000,0.0000,0.0000,0,7.00,7.00,2.22,2.22,1,3,3,2.33,0,0,0,0.2421052631578947,0.03157894736842104,0
96131,348,2014,5,complete,88,Tallinna FC Flora,1218,FCI Tallinn,1,2,3,1690.64,1451.67,1,50,25,0.0000,0.0000,0.0000,1,6.00,7.00,2.17,1.83,0.5,3,2.5,1.25,0,0,0.0,0,0,-0.04999999999999999
96131,348,2014,5,complete,1218,FCI Tallinn,88,Tallinna FC Flora,0,3,2,1451.67,1690.64,1,25,50,0.0000,0.0000,0.0000,1,7.00,6.00,1.83,2.17,3,0.5,1.25,2.5,0,0,0,0.0,-0.04999999999999999,0
96132,348,2014,5,complete,1644,Tallinna Kalev,1636,Tammeka,1,1,6,1519.18,1394.30,1,50,50,0.0000,0.0000,0.0000,1,7.00,7.00,0.44,0.78,0,0,1,0,0,0,0.04999999999999999,0,0,-0.031746031746031744
96132,348,2014,5,complete,1636,Tammeka,1644,Tallinna Kalev,0,6,1,1394.30,1519.18,1,50,50,0.0000,0.0000,0.0000,1,7.00,7.00,0.78,0.44,0,0,0,1,0,0,0,0.04999999999999999,-0.031746031746031744,0
96133,348,2014,5,complete,1635,Paide,1638,Trans,1,0,0,1570.66,1445.44,0,25,75,0.0000,0.0000,0.0000,0,7.00,7.00,0.83,0.56,1,0,1,1.67,0,0,0.040100250626566414,0,0,-0.08684210526315789
96133,348,2014,5,complete,1638,Trans,1635,Paide,0,0,0,1445.44,1570.66,0,75,25,0.0000,0.0000,0.0000,0,7.00,7.00,0.56,0.83,0,1,1.67,1,0,0,0,0.040100250626566414,-0.08684210526315789,0
96134,348,2014,5,complete,1643,Lokomotiv,1637,Sillamäe Kalev,1,1,3,1446.70,1626.28,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,0.67,2.33,2,0,0,2,0,0,0.0,0,0,-0.1499999999999999
96134,348,2014,5,complete,1637,Sillamäe Kalev,1643,Lokomotiv,0,3,1,1626.28,1446.70,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,2.33,0.67,0,2,2,0,0,0,0,0.0,-0.1499999999999999,0
96135,348,2014,5,complete,988,Nõmme Kalju,965,Tallinna FC Levadia,1,0,0,1758.02,1669.08,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,2.22,2.50,3,1,2,1.75,0,0,0.20000000000000007,0,0,-0.12030075187969924
96135,348,2014,5,complete,965,Tallinna FC Levadia,988,Nõmme Kalju,0,0,0,1669.08,1758.02,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,2.50,2.22,1,3,1.75,2,0,0,0,0.20000000000000007,-0.12030075187969924,0
96136,348,2014,6,complete,1644,Tallinna Kalev,1635,Paide,1,1,1,1506.38,1467.85,0,25,75,0.0000,0.0000,0.0000,0,6.00,6.00,0.44,1.11,1.33,0,0.8,1,0,0,0.0357142857142857,0,0,-0.01904761904761909
96136,348,2014,6,complete,1635,Paide,1644,Tallinna Kalev,0,1,1,1467.85,1506.38,0,75,25,0.0000,0.0000,0.0000,0,6.00,6.00,1.11,0.44,0,1.33,1,0.8,0,0,0,0.0357142857142857,-0.01904761904761909,0
96137,348,2014,6,complete,1637,Sillamäe Kalev,1636,Tammeka,1,5,0,1732.37,1407.10,2,75,0,0.0000,0.0000,0.0000,2,6.00,6.00,2.06,0.78,0.75,2,2.2,0.75,0,0,0.12857142857142856,0,0,0.005050505050505055
96137,348,2014,6,complete,1636,Tammeka,1637,Sillamäe Kalev,0,0,5,1407.10,1732.37,2,0,75,0.0000,0.0000,0.0000,2,6.00,6.00,0.78,2.06,2,0.75,0.75,2.2,0,0,0,0.12857142857142856,0.005050505050505055,0
96138,348,2014,6,complete,1218,FCI Tallinn,1643,Lokomotiv,1,2,0,1566.68,1340.61,2,0,0,0.0000,0.0000,0.0000,2,7.00,6.00,1.72,0.33,0,2,1.6,0,0,0,0.01428571428571429,0,0,0.0
96138,348,2014,6,complete,1643,Lokomotiv,1218,FCI Tallinn,0,0,2,1340.61,1566.68,2,0,0,0.0000,0.0000,0.0000,2,6.00,7.00,0.33,1.72,2,0,0,1.6,0,0,0,0.01428571428571429,0.0,0
96139,348,2014,6,complete,965,Tallinna FC Levadia,88,Tallinna FC Flora,1,1,1,1771.10,1575.63,0,100,0,0.0000,0.0000,0.0000,0,6.00,7.00,2.17,2.22,2,1.33,1.6,2,0,0,0.15714285714285714,0,0,0.02857142857142858
96139,348,2014,6,complete,88,Tallinna FC Flora,965,Tallinna FC Levadia,0,1,1,1575.63,1771.10,0,0,100,0.0000,0.0000,0.0000,0,7.00,6.00,2.22,2.17,1.33,2,2,1.6,0,0,0,0.15714285714285714,0.02857142857142858,0
96140,348,2014,6,complete,1638,Trans,988,Nõmme Kalju,1,0,4,1548.24,1656.00,1,25,75,0.0000,0.0000,0.0000,1,7.00,7.00,1.00,2.17,3,2,1.5,1.8,0,0,0.09999999999999998,0,0,-0.16190476190476188
