match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
275479,933,2014/2015,2,complete,1114,Panthrakikos,1098,PAS Giannina,1,1,1,1552.55,1473.04,0,50,0,2.4300,3.1700,3.2900,0,7.00,6.00,2.00,1.18,0,0,0,3,0,0,0.5326797385620915,0,0,-0.4934640522875817
275479,933,2014/2015,2,complete,1098,PAS Giannina,1114,Panthrakikos,0,1,1,1473.04,1552.55,0,0,50,3.2900,3.1700,2.4300,0,6.00,7.00,1.18,2.00,0,0,3,0,0,0,0,0.5326797385620915,-0.4934640522875817,0
275480,933,2014/2015,2,complete,1113,Kalloni,5128,Ergotelis,1,2,0,1552.73,1485.29,2,0,50,2.0900,3.2000,4.1800,2,6.00,4.00,2.06,0.94,0,0,1,0,0,0,0.24836601307189543,0,0,-0.07516339869281047
275480,933,2014/2015,2,complete,5128,Ergotelis,1113,Kalloni,0,0,2,1485.29,1552.73,2,50,0,4.1800,3.2000,2.0900,2,4.00,6.00,0.94,2.06,0,0,0,1,0,0,0,0.24836601307189543,-0.07516339869281047,0
275481,933,2014/2015,2,complete,1103,Panaitolikos,116,Olympiakos Piraeus,1,1,1,1564.52,1658.97,0,0,50,8.8900,4.6200,1.4300,0,7.00,7.00,1.94,1.88,0,0,0,3,0,0,0.5326797385620915,0,0,-0.2385620915032679
275481,933,2014/2015,2,complete,116,Olympiakos Piraeus,1103,Panaitolikos,0,1,1,1658.97,1564.52,0,50,0,1.4300,4.6200,8.8900,0,7.00,7.00,1.88,1.94,0,0,3,0,0,0,0,0.5326797385620915,-0.2385620915032679,0
275482,933,2014/2015,2,complete,1099,Xanthi,1100,Kerkyra,1,0,0,1535.93,1441.22,0,0,0,1.9200,3.3900,4.6600,0,7.00,8.00,1.82,0.76,0,0,0,3,0,0,0.5326797385620915,0,0,-1.0
275482,933,2014/2015,2,complete,1100,Kerkyra,1099,Xanthi,0,0,0,1441.22,1535.93,0,0,0,4.6600,3.3900,1.9200,0,8.00,7.00,0.76,1.82,0,0,3,0,0,0,0,0.5326797385620915,-1.0,0
275483,933,2014/2015,2,complete,5129,Niki Volos,1109,Atromitos,1,0,1,1529.17,1579.40,1,0,0,3.7700,3.3600,2.1400,1,7.00,7.00,0.44,0.80,0,0,0,3,0,0,0.0,0,0,-0.31666666666666665
275483,933,2014/2015,2,complete,1109,Atromitos,5129,Niki Volos,0,1,0,1579.40,1529.17,1,0,0,2.1400,3.3600,3.7700,1,7.00,7.00,0.80,0.44,0,0,3,0,0,0,0,0.0,-0.31666666666666665,0
