match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
211637,731,2014/2015,2,complete,3773,Puskás,3777,Pécsi MFC,1,2,2,1545.04,1512.53,0,50,0,2.1800,3.4100,3.4600,0,5.00,6.00,1.47,1.00,0,0,0,0,0,0,0.14583333333333331,0,0,0.15416666666666667
211637,731,2014/2015,2,complete,3777,Pécsi MFC,3773,Puskás,0,2,2,1512.53,1545.04,0,0,50,3.4600,3.4100,2.1800,0,6.00,5.00,1.00,1.47,0,0,0,0,0,0,0,0.14583333333333331,0.15416666666666667,0
211638,731,2014/2015,2,complete,3767,MTK,984,Debrecen,1,1,0,1618.66,1596.16,2,50,50,2.1400,3.5800,3.4000,2,6.00,3.00,2.27,1.40,1,0,3,1,0,0,0.15416666666666667,0,0,-0.2958333333333333
211638,731,2014/2015,2,complete,984,Debrecen,3767,MTK,0,0,1,1596.16,1618.66,2,50,50,3.4000,3.5800,2.1400,2,3.00,6.00,1.40,2.27,0,1,1,3,0,0,0,0.15416666666666667,-0.2958333333333333,0
211639,731,2014/2015,2,complete,962,Videoton,3781,Dunaújváros-Pálhalma,1,3,0,1656.37,1411.53,2,0,0,1.3200,5.1500,9.9900,2,6.00,7.00,2.67,0.40,0,3,3,0,0,0,0.22499999999999998,0,0,0.0
211639,731,2014/2015,2,complete,3781,Dunaújváros-Pálhalma,962,Videoton,0,0,3,1411.53,1656.37,2,0,0,9.9900,5.1500,1.3200,2,7.00,6.00,0.40,2.67,3,0,0,3,0,0,0,0.22499999999999998,0.0,0
211640,731,2014/2015,2,complete,3780,Nyíregyháza Spartacus,3772,Paksi SE,1,0,3,1520.10,1486.27,1,0,0,2.4700,3.5300,2.8400,1,7.00,5.00,1.13,1.40,0,1,1,3,0,0,0.0,0,0,-0.175
211640,731,2014/2015,2,complete,3772,Paksi SE,3780,Nyíregyháza Spartacus,0,3,0,1486.27,1520.10,1,0,0,2.8400,3.5300,2.4700,1,5.00,7.00,1.40,1.13,1,0,3,1,0,0,0,0.0,-0.175,0
211641,731,2014/2015,2,complete,3776,Kecskeméti TE,3769,Szombathelyi Haladás,1,0,1,1561.89,1511.10,1,0,50,2.5900,3.3200,2.8300,1,6.00,7.00,1.67,0.53,0,0,0,0,0,0,0.3041666666666667,0,0,-0.10416666666666669
211641,731,2014/2015,2,complete,3769,Szombathelyi Haladás,3776,Kecskeméti TE,0,1,0,1511.10,1561.89,1,50,0,2.8300,3.3200,2.5900,1,7.00,6.00,0.53,1.67,0,0,0,0,0,0,0,0.3041666666666667,-0.10416666666666669,0
211642,731,2014/2015,2,complete,3775,Pápa,119,Ferencváros,1,1,0,1542.80,1593.46,2,0,100,9.4200,4.9100,1.3700,2,7.00,7.00,0.93,1.67,3,0,0,3,0,0,0.21250000000000002,0,0,0.09166666666666667
211642,731,2014/2015,2,complete,119,Ferencváros,3775,Pápa,0,0,1,1593.46,1542.80,2,100,0,1.3700,4.9100,9.4200,2,7.00,7.00,1.67,0.93,0,3,3,0,0,0,0,0.21250000000000002,0.09166666666666667,0
211643,731,2014/2015,2,complete,993,Győri ETO,1207,Honvéd,1,3,1,1701.31,1471.31,2,50,0,1.6200,4.0300,5.7800,2,6.00,8.00,1.40,0.53,0,0,0,3,0,0,0.16666666666666663,0,0,-0.041666666666666685
