match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
582662,2057,2017,2,complete,666796,Spicul Chișcăreni,666792,Speranţa Nisporeni,1,1,1,1508.26,1457.02,0,0,0,0.0000,0.0000,0.0000,0,7.00,6.00,0.67,1.22,3,0,3,3,0,0,-1.0,0,0,-0.016666666666666663
582662,2057,2017,2,complete,666792,Speranţa Nisporeni,666796,Spicul Chișcăreni,0,1,1,1457.02,1508.26,0,0,0,0.0000,0.0000,0.0000,0,6.00,7.00,1.22,0.67,0,3,3,3,0,0,0,-1.0,-0.016666666666666663,0
582663,2057,2017,2,complete,9976,Petrocub,666794,Dinamo-Auto,1,1,0,1554.01,1427.99,2,67,0,0.0000,0.0000,0.0000,2,7.00,7.00,1.56,0.22,0,0,0,3,0,0,0.11249999999999999,0,0,-0.11666666666666667
582663,2057,2017,2,complete,666794,Dinamo-Auto,9976,Petrocub,0,0,1,1427.99,1554.01,2,0,67,0.0000,0.0000,0.0000,2,7.00,7.00,0.22,1.56,0,0,3,0,0,0,0,0.11249999999999999,-0.11666666666666667,0
582664,2057,2017,2,complete,7706,Zimbru,666795,Sfîntul Gheorghe,1,4,0,1602.98,1387.63,2,0,0,0.0000,0.0000,0.0000,2,7.00,6.00,1.89,0.78,0,0,0,0,0,0,0.22083333333333333,0,0,0.0
582664,2057,2017,2,complete,666795,Sfîntul Gheorghe,7706,Zimbru,0,0,4,1387.63,1602.98,2,0,0,0.0000,0.0000,0.0000,2,6.00,7.00,0.78,1.89,0,0,0,0,0,0,0,0.22083333333333333,0.0,0
582665,2057,2017,2,complete,5412,Zaria,964,Milsami,1,0,1,1696.46,1599.05,1,33,67,0.0000,0.0000,0.0000,1,2.00,7.00,1.78,2.11,0,0,0,0,0,0,0.04166666666666663,0,0,-0.21250000000000002
582665,2057,2017,2,complete,964,Milsami,5412,Zaria,0,1,0,1599.05,1696.46,1,67,33,0.0000,0.0000,0.0000,1,7.00,2.00,2.11,1.78,0,0,0,0,0,0,0,0.04166666666666663,-0.21250000000000002,0
582666,2057,2017,2,complete,5406,Dacia,60,Sheriff,1,1,1,1743.62,1629.11,0,50,25,0.0000,0.0000,0.0000,0,7.00,3.00,1.78,2.78,0,0,3,3,0,0,0.027450980392156765,0,0,-0.0980392156862745
582666,2057,2017,2,complete,60,Sheriff,5406,Dacia,0,1,1,1629.11,1743.62,0,25,50,0.0000,0.0000,0.0000,0,3.00,7.00,2.78,1.78,0,0,3,3,0,0,0,0.027450980392156765,-0.0980392156862745,0
582667,2057,2017,3,complete,666794,Dinamo-Auto,666796,Spicul Chișcăreni,1,0,3,1520.81,1407.08,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,1.44,0.89,3,3,1.5,2,0,0,0.125,0,0,1.0
582667,2057,2017,3,complete,666796,Spicul Chișcăreni,666794,Dinamo-Auto,0,3,0,1407.08,1520.81,1,0,0,0.0000,0.0000,0.0000,1,7.00,7.00,0.89,1.44,3,3,2,1.5,0,0,0,0.125,1.0,0
582668,2057,2017,3,complete,666795,Sfîntul Gheorghe,9976,Petrocub,1,0,2,1482.22,1461.19,1,0,0,0.0000,0.0000,0.0000,1,6.00,7.00,1.44,1.33,0,0,0,1.5,0,0,0.0,0,0,-0.15294117647058825
582668,2057,2017,3,complete,9976,Petrocub,666795,Sfîntul Gheorghe,0,2,0,1461.19,1482.22,1,0,0,0.0000,0.0000,0.0000,1,7.00,6.00,1.33,1.44,0,0,1.5,0,0,0,0,0.0,-0.15294117647058825,0
582669,2057,2017,3,complete,60,Sheriff,7706,Zimbru,1,2,2,1731.69,1508.39,0,100,0,0.0000,0.0000,0.0000,0,2.00,7.00,2.22,0.22,0,3,2,1.5,0,0,0.13970588235294112,0,0,-0.25
582669,2057,2017,3,complete,7706,Zimbru,60,Sheriff,0,2,2,1508.39,1731.69,0,0,100,0.0000,0.0000,0.0000,0,7.00,2.00,0.22,2.22,3,0,1.5,2,0,0,0,0.13970588235294112,-0.25,0
582670,2057,2017,3,complete,964,Milsami,5406,Dacia,1,2,1,1711.26,1641.04,2,33,0,0.0000,0.0000,0.0000,2,7.00,7.00,2.33,1.11,3,0,1.5,2,0,0,0.1875,0,0,0.018382352941176516
582670,2057,2017,3,complete,5406,Dacia,964,Milsami,0,1,2,1641.04,1711.26,2,0,33,0.0000,0.0000,0.0000,2,7.00,7.00,1.11,2.33,0,3,2,1.5,0,0,0,0.1875,0.018382352941176516,0
582671,2057,2017,3,complete,666792,Speranţa Nisporeni,5412,Zaria,1,2,4,1558.20,1584.25,1,33,33,0.0000,0.0000,0.0000,1,8.00,3.00,1.11,0.89,0,0,2,0,0,0,0.03137254901960784,0,0,0.0
582671,2057,2017,3,complete,5412,Zaria,666792,Speranţa Nisporeni,0,4,2,1584.25,1558.20,1,33,33,0.0000,0.0000,0.0000,1,3.00,8.00,0.89,1.11,0,0,0,2,0,0,0,0.03137254901960784,0.0,0
582672,2057,2017,4,complete,9976,Petrocub,60,Sheriff,1,1,2,1571.67,1626.96,1,0,67,0.0000,0.0000,0.0000,1,6.00,3.00,1.56,2.78,1,1.5,2,1.67,0,0,0.10294117647058826,0,0,-0.09722222222222221
582672,2057,2017,4,complete,60,Sheriff,9976,Petrocub,0,2,1,1626.96,1571.67,1,67,0,0.0000,0.0000,0.0000,1,3.00,6.00,2.78,1.56,1.5,1,1.67,2,0,0,0,0.10294117647058826,-0.09722222222222221,0
582673,2057,2017,4,complete,666794,Dinamo-Auto,666795,Sfîntul Gheorghe,1,2,2,1508.25,1371.74,0,0,0,0.0000,0.0000,0.0000,0,6.00,6.00,1.44,0.78,0,1.5,1,0,0,0,0.11029411764705882,0,0,0.0
582673,2057,2017,4,complete,666795,Sfîntul Gheorghe,666794,Dinamo-Auto,0,2,2,1371.74,1508.25,0,0,0,0.0000,0.0000,0.0000,0,6.00,6.00,0.78,1.44,1.5,0,0,1,0,0,0,0.11029411764705882,0.0,0
582674,2057,2017,4,complete,666796,Spicul Chișcăreni,5412,Zaria,1,0,2,1519.65,1593.65,1,0,0,0.0000,0.0000,0.0000,1,7.00,6.00,0.67,0.89,1.5,1,2.33,1,0,0,-1.0,0,0,0.022058823529411797
582674,2057,2017,4,complete,5412,Zaria,666796,Spicul Chișcăreni,0,2,0,1593.65,1519.65,1,0,0,0.0000,0.0000,0.0000,1,6.00,7.00,0.89,0.67,1,1.5,1,2.33,0,0,0,-1.0,0.022058823529411797,0
582675,2057,2017,4,complete,5406,Dacia,666792,Speranţa Nisporeni,1,2,1,1732.64,1448.79,2,100,0,0.0000,0.0000,0.0000,2,6.00,6.00,1.78,1.22,2,1,1.33,1.33,0,0,0.02083333333333337,0,0,-0.01470588235294118
582675,2057,2017,4,complete,666792,Speranţa Nisporeni,5406,Dacia,0,1,2,1448.79,1732.64,2,0,100,0.0000,0.0000,0.0000,2,6.00,6.00,1.22,1.78,1,2,1.33,1.33,0,0,0,0.02083333333333337,-0.01470588235294118,0
582676,2057,2017,4,complete,7706,Zimbru,964,Milsami,1,0,1,1613.12,1619.65,1,67,33,0.0000,0.0000,0.0000,1,7.00,7.00,1.89,2.11,3,3,1.33,2,0,0,0.26838235294117646,0,0,-0.19852941176470584
582676,2057,2017,4,complete,964,Milsami,7706,Zimbru,0,1,0,1619.65,1613.12,1,33,67,0.0000,0.0000,0.0000,1,7.00,7.00,2.11,1.89,3,3,2,1.33,0,0,0,0.26838235294117646,-0.19852941176470584,0
582677,2057,2017,5,complete,666795,Sfîntul Gheorghe,666796,Spicul Chișcăreni,1,4,3,1474.78,1411.33,2,0,0,0.0000,0.0000,0.0000,2,6.00,5.00,1.44,0.89,3,0,0.25,1.75,0,0,0.0,0,0,1.0
582677,2057,2017,5,complete,666796,Spicul Chișcăreni,666795,Sfîntul Gheorghe,0,3,4,1411.33,1474.78,2,0,0,0.0000,0.0000,0.0000,2,5.00,6.00,0.89,1.44,0,3,1.75,0.25,0,0,0,0.0,1.0,0
582678,2057,2017,5,complete,666792,Speranţa Nisporeni,7706,Zimbru,1,1,0,1544.54,1503.27,2,0,67,0.0000,0.0000,0.0000,2,5.00,4.00,1.11,0.22,0.5,0,1,1,0,0,0.02777777777777779,0,0,-0.23529411764705882
582678,2057,2017,5,complete,7706,Zimbru,666792,Speranţa Nisporeni,0,0,1,1503.27,1544.54,2,67,0,0.0000,0.0000,0.0000,2,4.00,5.00,0.22,1.11,0,0.5,1,1,0,0,0,0.02777777777777779,-0.23529411764705882,0
582679,2057,2017,5,complete,964,Milsami,9976,Petrocub,1,1,0,1729.50,1462.94,2,67,33,0.0000,0.0000,0.0000,2,5.00,7.00,2.33,1.33,3,1.5,2.25,1.5,0,0,0.17647058823529405,0,0,-0.08333333333333331
582679,2057,2017,5,complete,9976,Petrocub,964,Milsami,0,0,1,1462.94,1729.50,2,33,67,0.0000,0.0000,0.0000,2,7.00,5.00,1.33,2.33,1.5,3,1.5,2.25,0,0,0,0.17647058823529405,-0.08333333333333331,0
