match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
905502,4236,2012/2013,2,complete,396,Den Bosch,371,Sparta Rotterdam,1,1,2,1638.51,1579.51,1,25,75,0.0000,0.0000,0.0000,1,5.00,7.00,1.07,1.67,0,0,0,0,0,0,0.02614379084967322,0,0,-0.14052287581699352
905502,4236,2012/2013,2,complete,371,Sparta Rotterdam,396,Den Bosch,0,2,1,1579.51,1638.51,1,75,25,0.0000,0.0000,0.0000,1,7.00,5.00,1.67,1.07,0,0,0,0,0,0,0,0.02614379084967322,-0.14052287581699352,0
905506,4236,2012/2013,2,complete,395,Helmond Sport,393,Almere City,1,2,1,1688.23,1444.44,2,43,57,0.0000,0.0000,0.0000,2,7.00,7.00,1.87,0.67,0,0,3,0,0,0,0.20261437908496738,0,0,-0.26797385620915026
905506,4236,2012/2013,2,complete,393,Almere City,395,Helmond Sport,0,1,2,1444.44,1688.23,2,57,43,0.0000,0.0000,0.0000,2,7.00,7.00,0.67,1.87,0,0,0,3,0,0,0,0.20261437908496738,-0.26797385620915026,0
905510,4236,2012/2013,2,complete,388,MVV,391,Oss,1,2,0,1636.79,1433.16,2,75,25,0.0000,0.0000,0.0000,2,7.00,5.00,1.27,1.20,0,0,3,3,0,0,0.3104575163398693,0,0,-0.26797385620915026
905510,4236,2012/2013,2,complete,391,Oss,388,MVV,0,0,2,1433.16,1636.79,2,25,75,0.0000,0.0000,0.0000,2,5.00,7.00,1.20,1.27,0,0,3,3,0,0,0,0.3104575163398693,-0.26797385620915026,0
905514,4236,2012/2013,2,complete,374,Excelsior,397,Emmen,1,2,0,1458.56,1374.51,2,50,50,0.0000,0.0000,0.0000,2,7.00,7.00,1.13,0.80,0,0,0,1,0,0,0.0,0,0,-0.1045751633986928
905514,4236,2012/2013,2,complete,397,Emmen,374,Excelsior,0,0,2,1374.51,1458.56,2,50,50,0.0000,0.0000,0.0000,2,7.00,7.00,0.80,1.13,0,0,1,0,0,0,0,0.0,-0.1045751633986928,0
905518,4236,2012/2013,2,complete,382,Cambuur,387,Fortuna Sittard,1,2,0,1655.33,1515.43,2,67,17,0.0000,0.0000,0.0000,2,5.00,7.00,2.53,1.07,0,0,3,0,0,0,0.4281045751633987,0,0,-0.2647058823529412
905518,4236,2012/2013,2,complete,387,Fortuna Sittard,382,Cambuur,0,0,2,1515.43,1655.33,2,17,67,0.0000,0.0000,0.0000,2,7.00,5.00,1.07,2.53,0,0,0,3,0,0,0,0.4281045751633987,-0.2647058823529412,0
905522,4236,2012/2013,2,complete,384,Dordrecht,398,Volendam,1,1,2,1618.84,1487.37,1,29,29,0.0000,0.0000,0.0000,1,7.00,5.00,1.07,1.80,0,0,1,0,0,0,0.6503267973856209,0,0,-0.32026143790849676
905522,4236,2012/2013,2,complete,398,Volendam,384,Dordrecht,0,2,1,1487.37,1618.84,1,29,29,0.0000,0.0000,0.0000,1,5.00,7.00,1.80,1.07,0,0,0,1,0,0,0,0.6503267973856209,-0.32026143790849676,0
905526,4236,2012/2013,2,complete,366,Go Ahead Eagles,383,De Graafschap,1,2,2,1634.21,1395.36,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,2.00,1.47,0,0,3,3,0,0,0.19607843137254904,0,0,-1.0
905526,4236,2012/2013,2,complete,383,De Graafschap,366,Go Ahead Eagles,0,2,2,1395.36,1634.21,0,50,50,0.0000,0.0000,0.0000,0,7.00,7.00,1.47,2.00,0,0,3,3,0,0,0,0.19607843137254904,-1.0,0
1100385,4236,2012/2013,2,canceled,679945,AGOVV,389,Telstar,1,0,0,1468.19,1413.53,0,67,33,0.0000,0.0000,0.0000,0,7.00,7.00,0.00,0.67,0,0,0,0,0,0,0.17973856209150327,0,0,-0.15686274509803919
1100385,4236,2012/2013,2,canceled,389,Telstar,679945,AGOVV,0,0,0,1413.53,1468.19,0,33,67,0.0000,0.0000,0.0000,0,7.00,7.00,0.67,0.00,0,0,0,0,0,0,0,0.17973856209150327,-0.15686274509803919,0
1100386,4236,2012/2013,2,canceled,12840,Veendam,394,Eindhoven,1,0,0,1493.97,1559.09,0,17,83,0.0000,0.0000,0.0000,0,10.00,10.00,0.00,0.33,0,0,0,0,0,0,0.12091503267973858,0,0,-0.08496732026143794
1100386,4236,2012/2013,2,canceled,394,Eindhoven,12840,Veendam,0,0,0,1559.09,1493.97,0,83,17,0.0000,0.0000,0.0000,0,10.00,10.00,0.33,0.00,0,0,0,0,0,0,0,0.12091503267973858,-0.08496732026143794,0
905530,4236,2012/2013,3,complete,387,Fortuna Sittard,397,Emmen,1,3,1,1608.55,1366.42,2,50,33,0.0000,0.0000,0.0000,2,7.00,7.00,2.00,0.80,0,0,0,0.5,0,0,0.2777777777777778,0,0,-0.1111111111111111
905530,4236,2012/2013,3,complete,397,Emmen,387,Fortuna Sittard,0,1,3,1366.42,1608.55,2,33,50,0.0000,0.0000,0.0000,2,7.00,7.00,0.80,2.00,0,0,0.5,0,0,0,0,0.2777777777777778,-0.1111111111111111,0
905533,4236,2012/2013,3,complete,389,Telstar,374,Excelsior,1,1,0,1514.78,1366.65,2,0,50,0.0000,0.0000,0.0000,2,7.00,7.00,1.27,0.27,0,0,0,1.5,0,0,0.16666666666666666,0,0,-1.0
905533,4236,2012/2013,3,complete,374,Excelsior,389,Telstar,0,0,1,1366.65,1514.78,2,50,0,0.0000,0.0000,0.0000,2,7.00,7.00,0.27,1.27,0,0,1.5,0,0,0,0,0.16666666666666666,-1.0,0
905537,4236,2012/2013,3,complete,393,Almere City,398,Volendam,1,1,3,1539.53,1500.31,1,50,50,0.0000,0.0000,0.0000,1,7.00,7.00,1.40,1.80,3,0,0,1.5,0,0,0.2777777777777778,0,0,-0.2777777777777778
905537,4236,2012/2013,3,complete,398,Volendam,393,Almere City,0,3,1,1500.31,1539.53,1,50,50,0.0000,0.0000,0.0000,1,7.00,7.00,1.80,1.40,0,3,1.5,0,0,0,0,0.2777777777777778,-0.2777777777777778,0
905541,4236,2012/2013,3,complete,391,Oss,366,Go Ahead Eagles,1,1,4,1527.54,1529.20,1,25,50,0.0000,0.0000,0.0000,1,7.00,7.00,1.27,1.20,3,3,1.5,2,0,0,0.2777777777777778,0,0,-0.16666666666666669
905541,4236,2012/2013,3,complete,366,Go Ahead Eagles,391,Oss,0,4,1,1529.20,1527.54,1,50,25,0.0000,0.0000,0.0000,1,7.00,7.00,1.20,1.27,3,3,2,1.5,0,0,0,0.2777777777777778,-0.16666666666666669,0
905545,4236,2012/2013,3,complete,383,De Graafschap,395,Helmond Sport,1,2,5,1500.37,1593.14,1,100,0,0.0000,0.0000,0.0000,1,7.00,7.00,1.53,1.80,3,3,2,3,0,0,1.0,0,0,-0.2222222222222222
905545,4236,2012/2013,3,complete,395,Helmond Sport,383,De Graafschap,0,5,2,1593.14,1500.37,1,0,100,0.0000,0.0000,0.0000,1,7.00,7.00,1.80,1.53,3,3,3,2,0,0,0,1.0,-0.2222222222222222,0
905548,4236,2012/2013,3,complete,394,Eindhoven,382,Cambuur,1,2,1,1657.60,1562.21,2,50,33,0.0000,0.0000,0.0000,2,4.00,7.00,1.07,1.53,3,0,0,3,0,0,0.11111111111111116,0,0,-0.4444444444444444
905548,4236,2012/2013,3,complete,382,Cambuur,394,Eindhoven,0,1,2,1562.21,1657.60,2,33,50,0.0000,0.0000,0.0000,2,7.00,4.00,1.53,1.07,0,3,3,0,0,0,0,0.11111111111111116,-0.4444444444444444,0
1100387,4236,2012/2013,3,canceled,12840,Veendam,388,MVV,1,0,0,1495.46,1542.42,0,33,67,0.0000,0.0000,0.0000,0,4.00,7.00,0.00,2.07,3,0,0,3,0,0,0.1111111111111111,0,0,-0.33333333333333337
1100387,4236,2012/2013,3,canceled,388,MVV,12840,Veendam,0,0,0,1542.42,1495.46,0,67,33,0.0000,0.0000,0.0000,0,7.00,4.00,2.07,0.00,0,3,3,0,0,0,0,0.1111111111111111,-0.33333333333333337,0
1100388,4236,2012/2013,3,canceled,371,Sparta Rotterdam,679945,AGOVV,1,0,0,1690.86,1366.94,0,75,0,0.0000,0.0000,0.0000,0,7.00,7.00,2.00,0.00,0,0,3,0,0,0,0.11111111111111116,0,0,-0.16666666666666666
1100388,4236,2012/2013,3,canceled,679945,AGOVV,371,Sparta Rotterdam,0,0,0,1366.94,1690.86,0,0,75,0.0000,0.0000,0.0000,0,7.00,7.00,0.00,2.00,0,0,0,3,0,0,0,0.11111111111111116,-0.16666666666666666,0
905552,4236,2012/2013,3,complete,396,Den Bosch,384,Dordrecht,1,2,4,1627.16,1505.90,1,50,17,0.0000,0.0000,0.0000,1,10.00,10.00,1.07,1.60,1,0,0,0.5,0,0,0.0,0,0,-0.611111111111111
905552,4236,2012/2013,3,complete,384,Dordrecht,396,Den Bosch,0,4,2,1505.90,1627.16,1,17,50,0.0000,0.0000,0.0000,1,10.00,10.00,1.60,1.07,0,1,0.5,0,0,0,0,0.0,-0.611111111111111,0
905556,4236,2012/2013,4,complete,395,Helmond Sport,396,Den Bosch,1,2,0,1701.04,1514.44,2,50,17,0.0000,0.0000,0.0000,2,7.00,4.00,1.87,1.27,0,3,3,0,0,0,0.19298245614035087,0,0,0.023391812865497075
905556,4236,2012/2013,4,complete,396,Den Bosch,395,Helmond Sport,0,0,2,1514.44,1701.04,2,17,50,0.0000,0.0000,0.0000,2,4.00,7.00,1.27,1.87,3,0,0,3,0,0,0,0.19298245614035087,0.023391812865497075,0
905560,4236,2012/2013,4,complete,366,Go Ahead Eagles,382,Cambuur,1,1,1,1639.16,1554.38,0,17,50,0.0000,0.0000,0.0000,0,7.00,7.00,2.00,1.53,1.5,1,2.33,2,0,0,0.13157894736842107,0,0,-0.4590643274853801
905560,4236,2012/2013,4,complete,382,Cambuur,366,Go Ahead Eagles,0,1,1,1554.38,1639.16,0,50,17,0.0000,0.0000,0.0000,0,7.00,7.00,1.53,2.00,1,1.5,2,2.33,0,0,0,0.13157894736842107,-0.4590643274853801,0
905564,4236,2012/2013,4,complete,388,MVV,389,Telstar,1,0,0,1641.34,1421.50,0,67,17,0.0000,0.0000,0.0000,0,7.00,7.00,1.27,0.67,0,3,3,1.5,0,0,0.34795321637426907,0,0,-0.20175438596491227
905564,4236,2012/2013,4,complete,389,Telstar,388,MVV,0,0,0,1421.50,1641.34,0,17,67,0.0000,0.0000,0.0000,0,7.00,7.00,0.67,1.27,3,0,1.5,3,0,0,0,0.34795321637426907,-0.20175438596491227,0
905568,4236,2012/2013,4,complete,398,Volendam,394,Eindhoven,1,4,1,1611.21,1565.44,2,50,33,0.0000,0.0000,0.0000,2,7.00,7.00,2.20,0.33,0,0,2,1.5,0,0,0.23976608187134507,0,0,-0.13450292397660824
905568,4236,2012/2013,4,complete,394,Eindhoven,398,Volendam,0,1,4,1565.44,1611.21,2,33,50,0.0000,0.0000,0.0000,2,7.00,7.00,0.33,2.20,0,0,1.5,2,0,0,0,0.23976608187134507,-0.13450292397660824,0
905572,4236,2012/2013,4,complete,393,Almere City,391,Oss,1,2,3,1528.63,1417.58,1,50,25,0.0000,0.0000,0.0000,1,7.00,7.00,1.40,1.20,0,0,0,1,0,0,0.2543859649122807,0,0,-0.2543859649122807
