match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
871765,3973,2012/2013,1,complete,961,Lech Poznań,1064,Ruch Chorzów,1,4,0,1656.55,1571.79,2,67,33,0.0000,0.0000,0.0000,2,8.00,8.00,1.60,0.93,0,0,0,0,0,0,0.4666666666666666,0,0,-0.1333333333333333
871765,3973,2012/2013,1,complete,1064,Ruch Chorzów,961,Lech Poznań,0,0,4,1571.79,1656.55,2,33,67,0.0000,0.0000,0.0000,2,8.00,8.00,0.93,1.60,0,0,0,0,0,0,0,0.4666666666666666,-0.1333333333333333,0
871778,3973,2012/2013,2,complete,1149,Zagłębie Lubin,1226,Piast Gliwice,1,2,1,1601.54,1418.72,2,0,50,0.0000,0.0000,0.0000,2,7.00,6.00,1.53,1.73,0,0,0,0,0,0,0.08750000000000002,0,0,0.0
871778,3973,2012/2013,2,complete,1226,Piast Gliwice,1149,Zagłębie Lubin,0,1,2,1418.72,1601.54,2,50,0,0.0000,0.0000,0.0000,2,6.00,7.00,1.73,1.53,0,0,0,0,0,0,0,0.08750000000000002,0.0,0
871781,3973,2012/2013,2,complete,1224,Jagiellonia Białystok,785,Górnik Zabrze,1,1,1,1593.37,1522.81,0,75,25,0.0000,0.0000,0.0000,0,6.00,7.00,1.20,1.33,3,3,3,3,0,0,0.6208333333333333,0,0,-0.4125
871781,3973,2012/2013,2,complete,785,Górnik Zabrze,1224,Jagiellonia Białystok,0,1,1,1522.81,1593.37,0,25,75,0.0000,0.0000,0.0000,0,7.00,6.00,1.33,1.20,3,3,3,3,0,0,0,0.6208333333333333,-0.4125,0
871784,3973,2012/2013,2,complete,779,Podbeskidzie,1219,Wisła Kraków,1,1,1,1556.99,1507.01,0,50,50,0.0000,0.0000,0.0000,0,7.00,5.00,0.80,1.13,0,0,0,3,0,0,-0.04583333333333334,0,0,-0.16666666666666669
871784,3973,2012/2013,2,complete,1219,Wisła Kraków,779,Podbeskidzie,0,1,1,1507.01,1556.99,0,50,50,0.0000,0.0000,0.0000,0,5.00,7.00,1.13,0.80,0,0,3,0,0,0,0,-0.04583333333333334,-0.16666666666666669,0
871787,3973,2012/2013,2,complete,1148,Widzew Łódź,1064,Ruch Chorzów,1,2,0,1604.49,1563.72,2,0,50,0.0000,0.0000,0.0000,2,7.00,6.00,1.47,0.93,0,3,3,0,0,0,0.10833333333333334,0,0,-0.16249999999999998
871787,3973,2012/2013,2,complete,1064,Ruch Chorzów,1148,Widzew Łódź,0,0,2,1563.72,1604.49,2,50,0,0.0000,0.0000,0.0000,2,6.00,7.00,0.93,1.47,3,0,0,3,0,0,0,0.10833333333333334,-0.16249999999999998,0
871790,3973,2012/2013,2,complete,797,Polonia Warszawa,961,Lech Poznań,1,1,2,1618.30,1564.62,1,50,33,0.0000,0.0000,0.0000,1,4.00,7.00,1.33,2.47,0,0,3,3,0,0,0.2875,0,0,-0.48333333333333334
