match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
5090,18,2013/2014,2,complete,184,SC Olhanense,173,Paços de Ferreira,1,1,0,1510.24,1405.72,2,0,57,2.8000,3.1700,2.8000,2,6.00,3.00,1.20,0.67,0,0,0,0,0,0,0.0,0,0,0.0
5090,18,2013/2014,2,complete,173,Paços de Ferreira,184,SC Olhanense,0,0,1,1405.72,1510.24,2,57,0,2.8000,3.1700,2.8000,2,3.00,6.00,0.67,1.20,0,0,0,0,0,0,0,0.0,0.0,0
5091,18,2013/2014,2,complete,179,Associação Académica de Coimbra OAF,114,Sporting CP,1,0,4,1510.24,1429.07,1,14,43,4.5000,3.5000,1.9200,1,6.00,6.00,1.40,2.20,0,0,0,3,0,0,0.0,0,0,-1.0
5091,18,2013/2014,2,complete,114,Sporting CP,179,Associação Académica de Coimbra OAF,0,4,0,1429.07,1510.24,1,43,14,1.9200,3.5000,4.5000,1,6.00,6.00,2.20,1.40,0,0,3,0,0,0,0,0.0,-1.0,0
5092,18,2013/2014,2,complete,171,Rio Ave FC,170,Vitória Setúbal,1,2,0,1534.25,1405.72,2,67,17,1.7900,3.6500,5.0500,2,7.00,6.00,0.73,0.87,0,0,3,0,0,0,-1.0,0,0,0.0
5092,18,2013/2014,2,complete,170,Vitória Setúbal,171,Rio Ave FC,0,0,2,1405.72,1534.25,2,17,67,5.0500,3.6500,1.7900,2,6.00,7.00,0.87,0.73,0,0,0,3,0,0,0,-1.0,0.0,0
5093,18,2013/2014,2,complete,163,CD Nacional,175,Vitória Guimarães,1,1,1,1510.24,1425.72,0,33,50,2.1100,3.4800,3.7300,0,7.00,7.00,1.80,1.13,0,0,0,3,0,0,0.0,0,0,-1.0
5093,18,2013/2014,2,complete,175,Vitória Guimarães,163,CD Nacional,0,1,1,1425.72,1510.24,0,50,33,3.7300,3.4800,2.1100,0,7.00,7.00,1.13,1.80,0,0,3,0,0,0,0,0.0,-1.0,0
5094,18,2013/2014,2,complete,78,Benfica,183,Gil Vicente,1,2,1,1510.24,1425.72,2,75,0,1.2100,7.0500,9.9900,2,7.00,7.00,2.60,0.60,0,0,0,3,0,0,0.0,0,0,-1.0
5094,18,2013/2014,2,complete,183,Gil Vicente,78,Benfica,0,1,2,1425.72,1510.24,2,0,75,9.9900,7.0500,1.2100,2,7.00,7.00,0.60,2.60,0,0,3,0,0,0,0,0.0,-1.0,0
5095,18,2013/2014,2,complete,167,FC Arouca,164,GD Estoril Praia,1,1,2,1654.61,1425.72,1,0,50,3.1700,3.2900,2.4400,1,7.00,2.00,1.13,2.07,0,0,0,3,0,0,0.0,0,0,-1.0
5095,18,2013/2014,2,complete,164,GD Estoril Praia,167,FC Arouca,0,2,1,1425.72,1654.61,1,50,0,2.4400,3.2900,3.1700,1,2.00,7.00,2.07,1.13,0,0,3,0,0,0,0,0.0,-1.0,0
5096,18,2013/2014,2,complete,82,Porto,177,CS Marítimo,1,3,0,1530.24,1425.72,2,83,0,1.2000,7.3000,9.9900,2,6.00,7.00,2.67,0.73,0,0,3,3,0,0,-1.0,0,0,-1.0
5096,18,2013/2014,2,complete,177,CS Marítimo,82,Porto,0,0,3,1425.72,1530.24,2,0,83,9.9900,7.3000,1.2000,2,7.00,6.00,0.73,2.67,0,0,3,3,0,0,0,-1.0,-1.0,0
5097,18,2013/2014,2,complete,172,Sporting Braga,168,Belenenses,1,2,1,1530.24,1621.82,2,0,0,1.3500,5.1900,9.9900,2,4.00,8.00,1.60,0.53,0,0,3,0,0,0,-1.0,0,0,0.0
5097,18,2013/2014,2,complete,168,Belenenses,172,Sporting Braga,0,1,2,1621.82,1530.24,2,0,0,9.9900,5.1900,1.3500,2,8.00,4.00,0.53,1.60,0,0,0,3,0,0,0,-1.0,0.0,0
5098,18,2013/2014,3,complete,175,Vitória Guimarães,170,Vitória Setúbal,1,1,4,1527.64,1398.59,1,43,29,0.0000,0.0000,0.0000,1,6.00,6.00,1.20,0.87,0,3,2,0,0,0,1.0,0,0,0.0
5098,18,2013/2014,3,complete,170,Vitória Setúbal,175,Vitória Guimarães,0,4,1,1398.59,1527.64,1,29,43,0.0000,0.0000,0.0000,1,6.00,6.00,0.87,1.20,3,0,0,2,0,0,0,1.0,0.0,0
5099,18,2013/2014,3,complete,114,Sporting CP,78,Benfica,1,1,1,1540.92,1418.32,0,17,83,2.9000,3.4800,2.5100,0,6.00,6.00,2.27,2.33,0,3,3,1.5,0,0,0.0,0,0,-1.0
5099,18,2013/2014,3,complete,78,Benfica,114,Sporting CP,0,1,1,1418.32,1540.92,0,83,17,2.5100,3.4800,2.9000,0,6.00,6.00,2.33,2.27,3,0,1.5,3,0,0,0,0.0,-1.0,0
5100,18,2013/2014,3,complete,167,FC Arouca,171,Rio Ave FC,1,1,0,1639.78,1441.38,2,100,0,3.5500,3.4200,2.1900,2,6.00,7.00,1.13,1.40,3,0,0,3,0,0,0.0,0,0,0.0
