match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
320751,1089,2014/2015,2,complete,6632,Ceahlăul Piatra Neamţ,6626,ASA Târgu Mureş,1,1,4,1561.54,1433.08,1,0,0,0.0000,0.0000,0.0000,1,4.00,6.00,0.76,1.41,0,0,0,1,0,0,0.24509803921568626,0,0,0.0
320751,1089,2014/2015,2,complete,6626,ASA Târgu Mureş,6632,Ceahlăul Piatra Neamţ,0,4,1,1433.08,1561.54,1,0,0,0.0000,0.0000,0.0000,1,6.00,4.00,1.41,0.76,0,0,1,0,0,0,0,0.24509803921568626,0.0,0
320752,1089,2014/2015,2,complete,1212,Viitorul,13181,Rapid Bucureşti,1,1,2,1586.56,1490.65,1,0,0,0.0000,0.0000,0.0000,1,4.00,6.00,1.12,1.06,0,0,1,0,0,0,0.14241486068111459,0,0,0.0
320752,1089,2014/2015,2,complete,13181,Rapid Bucureşti,1212,Viitorul,0,2,1,1490.65,1586.56,1,0,0,0.0000,0.0000,0.0000,1,6.00,4.00,1.06,1.12,0,0,0,1,0,0,0,0.14241486068111459,0.0,0
320753,1089,2014/2015,2,complete,6633,Oţelul Galaţi,6620,Concordia Chiajna,1,1,2,1569.18,1447.89,1,50,0,0.0000,0.0000,0.0000,1,4.00,8.00,1.00,0.94,0,0,0,0,0,0,0.24836601307189543,0,0,-0.21241830065359477
320753,1089,2014/2015,2,complete,6620,Concordia Chiajna,6633,Oţelul Galaţi,0,2,1,1447.89,1569.18,1,0,50,0.0000,0.0000,0.0000,1,8.00,4.00,0.94,1.00,0,0,0,0,0,0,0,0.24836601307189543,-0.21241830065359477,0
320754,1089,2014/2015,2,complete,97,FCSB,12956,CS U Craiova,1,3,1,1750.83,1433.74,2,0,0,0.0000,0.0000,0.0000,2,3.00,8.00,1.88,1.47,0,0,3,1,0,0,0.09477124183006536,0,0,0.0
320754,1089,2014/2015,2,complete,12956,CS U Craiova,97,FCSB,0,1,3,1433.74,1750.83,2,0,0,0.0000,0.0000,0.0000,2,8.00,3.00,1.47,1.88,0,0,1,3,0,0,0,0.09477124183006536,0.0,0
320755,1089,2014/2015,2,complete,6628,Petrolul Ploieşti,6621,Botoşani,1,4,1,1722.15,1461.98,2,100,0,0.0000,0.0000,0.0000,2,2.00,7.00,1.24,1.24,0,0,3,0,0,0,0.08823529411764708,0,0,-0.09477124183006536
320755,1089,2014/2015,2,complete,6621,Botoşani,6628,Petrolul Ploieşti,0,1,4,1461.98,1722.15,2,0,100,0.0000,0.0000,0.0000,2,7.00,2.00,1.24,1.24,0,0,0,3,0,0,0,0.08823529411764708,-0.09477124183006536,0
