match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
51788,169,2013/2014,1,complete,1017,Hibernian,30,Motherwell,1,0,1,1595.20,1553.31,1,33,67,3.0700,3.4400,2.4200,1,9.00,2.00,0.95,1.53,0,0,0,0,0,0,0.05263157894736842,0,0,0.0
51788,169,2013/2014,1,complete,30,Motherwell,1017,Hibernian,0,1,0,1553.31,1595.20,1,67,33,2.4200,3.4400,3.0700,1,2.00,9.00,1.53,0.95,0,0,0,0,0,0,0,0.05263157894736842,0.0,0
51790,169,2013/2014,2,complete,1018,Dundee United,27,Inverness CT,1,0,1,1587.26,1523.39,1,25,25,2.4000,3.5200,3.0400,1,7.00,7.00,1.84,1.42,0,0,1,3,0,0,-0.1394736842105263,0,0,-0.08421052631578951
51790,169,2013/2014,2,complete,27,Inverness CT,1018,Dundee United,0,1,0,1523.39,1587.26,1,25,25,3.0400,3.5200,2.4000,1,7.00,7.00,1.42,1.84,0,0,3,1,0,0,0,-0.1394736842105263,-0.08421052631578951,0
51791,169,2013/2014,2,complete,31,Ross County,26,Partick Thistle,1,1,3,1616.20,1441.48,1,23,23,2.0900,3.4100,3.8800,1,6.00,7.00,1.37,1.26,0,0,0,1,0,0,0.17105263157894735,0,0,0.0
51791,169,2013/2014,2,complete,26,Partick Thistle,31,Ross County,0,3,1,1441.48,1616.20,1,23,23,3.8800,3.4100,2.0900,1,7.00,6.00,1.26,1.37,0,0,1,0,0,0,0,0.17105263157894735,0.0,0
51792,169,2013/2014,2,complete,32,Hearts,1017,Hibernian,1,1,0,1554.11,1484.24,2,0,25,2.3400,3.3400,3.2900,2,6.00,6.00,1.11,0.89,0,0,0,0,0,0,0.37368421052631573,0,0,-0.03421052631578947
51792,169,2013/2014,2,complete,1017,Hibernian,32,Hearts,0,0,1,1484.24,1554.11,2,25,0,3.2900,3.3400,2.3400,2,6.00,6.00,0.89,1.11,0,0,0,0,0,0,0,0.37368421052631573,-0.03421052631578947,0
51793,169,2013/2014,2,complete,21,Kilmarnock,29,St. Johnstone,1,0,0,1553.68,1542.49,0,0,100,3.2700,3.3600,2.3400,0,8.00,2.00,1.26,1.00,0,0,0,3,0,0,-0.0368421052631579,0,0,-0.2368421052631579
51793,169,2013/2014,2,complete,29,St. Johnstone,21,Kilmarnock,0,0,0,1542.49,1553.68,0,100,0,2.3400,3.3600,3.2700,0,2.00,8.00,1.00,1.26,0,0,3,0,0,0,0,-0.0368421052631579,-0.2368421052631579,0
51794,169,2013/2014,2,complete,30,Motherwell,25,Aberdeen,1,1,3,1664.27,1491.88,1,33,0,2.4000,3.4200,3.1100,1,2.00,8.00,2.16,1.75,0,0,3,3,0,0,-0.026315789473684237,0,0,-0.08684210526315789
51794,169,2013/2014,2,complete,25,Aberdeen,30,Motherwell,0,3,1,1491.88,1664.27,1,0,33,3.1100,3.4200,2.4000,1,8.00,2.00,1.75,2.16,0,0,3,3,0,0,0,-0.026315789473684237,-0.08684210526315789,0
51795,169,2013/2014,3,complete,26,Partick Thistle,32,Hearts,1,1,1,1555.30,1462.52,0,0,0,2.3400,3.2600,3.3700,0,6.00,5.00,0.74,0.89,0,1,2,1.5,0,0,-1.0,0,0,-0.4
51795,169,2013/2014,3,complete,32,Hearts,26,Partick Thistle,0,1,1,1462.52,1555.30,0,0,0,3.3700,3.2600,2.3400,0,5.00,6.00,0.89,0.74,1,0,1.5,2,0,0,0,-1.0,-0.4,0
51796,169,2013/2014,3,complete,25,Aberdeen,23,Celtic,1,0,2,1605.65,1622.20,1,0,100,3.8300,3.5600,2.0400,1,5.00,9.00,1.83,2.53,0,3,3,3,0,0,0.04999999999999999,0,0,-0.3263157894736843
51796,169,2013/2014,3,complete,23,Celtic,25,Aberdeen,0,2,0,1622.20,1605.65,1,100,0,2.0400,3.5600,3.8300,1,9.00,5.00,2.53,1.83,3,0,3,3,0,0,0,0.04999999999999999,-0.3263157894736843,0
51797,169,2013/2014,3,complete,1017,Hibernian,1018,Dundee United,1,1,1,1575.84,1475.80,0,33,33,2.8800,3.3200,2.6200,0,6.00,7.00,0.95,1.21,1,0,0,0.5,0,0,0.04999999999999999,0,0,0.14999999999999997
51797,169,2013/2014,3,complete,1018,Dundee United,1017,Hibernian,0,1,1,1475.80,1575.84,0,33,33,2.6200,3.3200,2.8800,0,7.00,6.00,1.21,0.95,0,1,0.5,0,0,0,0,0.04999999999999999,0.14999999999999997,0
51798,169,2013/2014,3,complete,27,Inverness CT,30,Motherwell,1,2,0,1634.85,1550.50,2,25,75,2.5400,3.4400,2.8900,2,7.00,6.00,1.58,1.53,3,3,3,1.5,0,0,0.050000000000000044,0,0,0.04999999999999999
51798,169,2013/2014,3,complete,30,Motherwell,27,Inverness CT,0,0,2,1550.50,1634.85,2,75,25,2.8900,3.4400,2.5400,2,6.00,7.00,1.53,1.58,3,3,1.5,3,0,0,0,0.050000000000000044,0.04999999999999999,0
