match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
115714,440,2014/2015,2,complete,2005,Podbrezová,2012,Spartak Myjava,1,1,2,1538.48,1471.92,1,0,0,2.4000,3.2500,3.1600,1,7.00,6.00,1.44,0.71,0,0,0,0,0,0,0.0,0,0,0.05882352941176466
115714,440,2014/2015,2,complete,2012,Spartak Myjava,2005,Podbrezová,0,2,1,1471.92,1538.48,1,0,0,3.1600,3.2500,2.4000,1,6.00,7.00,0.71,1.44,0,0,0,0,0,0,0,0.0,0.05882352941176466,0
115715,440,2014/2015,2,complete,2013,Dukla,2009,Senica,1,2,2,1595.87,1490.45,0,33,0,2.5100,3.2600,2.9800,0,7.00,6.00,0.75,0.75,0,0,3,3,0,0,0.1597222222222222,0,0,-0.5416666666666666
115715,440,2014/2015,2,complete,2009,Senica,2013,Dukla,0,2,2,1490.45,1595.87,0,0,33,2.9800,3.2600,2.5100,0,6.00,7.00,0.75,0.75,0,0,3,3,0,0,0,0.1597222222222222,-0.5416666666666666,0
115716,440,2014/2015,2,complete,2006,Zlaté Moravce,2011,Ružomberok,1,1,1,1544.37,1494.57,0,67,33,2.8200,3.3400,2.5800,0,6.00,7.00,1.25,0.75,0,0,0,0,0,0,0.2152777777777778,0,0,0.1111111111111111
115716,440,2014/2015,2,complete,2011,Ružomberok,2006,Zlaté Moravce,0,1,1,1494.57,1544.37,0,33,67,2.5800,3.3400,2.8200,0,7.00,6.00,0.75,1.25,0,0,0,0,0,0,0,0.2152777777777778,0.1111111111111111,0
115717,440,2014/2015,2,complete,2007,DAC,2010,Spartak Trnava,1,0,0,1546.75,1540.30,0,67,33,0.0000,0.0000,0.0000,0,8.00,3.00,1.56,0.75,0,0,0,3,0,0,0.3819444444444444,0,0,-0.17647058823529416
115717,440,2014/2015,2,complete,2010,Spartak Trnava,2007,DAC,0,0,0,1540.30,1546.75,0,33,67,0.0000,0.0000,0.0000,0,3.00,8.00,0.75,1.56,0,0,3,0,0,0,0,0.3819444444444444,-0.17647058823529416,0
115718,440,2014/2015,2,complete,1217,Žilina,2014,Košice,1,4,1,1589.68,1486.47,2,67,33,1.9200,3.5300,4.2400,2,8.00,3.00,2.25,0.63,0,0,3,0,0,0,0.2777777777777778,0,0,-0.25
115718,440,2014/2015,2,complete,2014,Košice,1217,Žilina,0,1,4,1486.47,1589.68,2,33,67,4.2400,3.5300,1.9200,2,3.00,8.00,0.63,2.25,0,0,0,3,0,0,0,0.2777777777777778,-0.25,0
115719,440,2014/2015,3,complete,2009,Senica,1217,Žilina,1,1,1,1592.83,1497.35,0,67,33,2.5600,3.4200,2.8000,0,6.00,5.00,2.06,1.94,3,3,2,3,0,0,0.5490196078431372,0,0,-0.30718954248366015
115719,440,2014/2015,3,complete,1217,Žilina,2009,Senica,0,1,1,1497.35,1592.83,0,33,67,2.8000,3.4200,2.5600,0,5.00,6.00,1.94,2.06,3,3,3,2,0,0,0,0.5490196078431372,-0.30718954248366015,0
115720,440,2014/2015,3,complete,2011,Ružomberok,2007,DAC,1,1,1,1595.72,1446.61,0,67,33,2.1000,3.4600,3.6300,0,6.00,5.00,1.65,0.82,0,0,0.5,0.5,0,0,-0.08169934640522875,0,0,-0.35620915032679734
115720,440,2014/2015,3,complete,2007,DAC,2011,Ružomberok,0,1,1,1446.61,1595.72,0,33,67,3.6300,3.4600,2.1000,0,5.00,6.00,0.82,1.65,0,0,0.5,0.5,0,0,0,-0.08169934640522875,-0.35620915032679734,0
115721,440,2014/2015,3,complete,2013,Dukla,2012,Spartak Myjava,1,0,0,1593.49,1483.44,0,67,33,0.0000,0.0000,0.0000,0,7.00,7.00,0.75,0.71,1.5,1,2,1.5,0,0,0.13398692810457513,0,0,0.09150326797385616
115721,440,2014/2015,3,complete,2012,Spartak Myjava,2013,Dukla,0,0,0,1483.44,1593.49,0,33,67,0.0000,0.0000,0.0000,0,7.00,7.00,0.71,0.75,1,1.5,1.5,2,0,0,0,0.13398692810457513,0.09150326797385616,0
115722,440,2014/2015,3,complete,2014,Košice,2006,Zlaté Moravce,1,1,3,1578.80,1443.23,1,33,0,1.6900,3.7400,5.5400,1,2.00,7.00,1.82,0.71,0,0,0,0.5,0,0,0.2647058823529412,0,0,-0.1895424836601307
115722,440,2014/2015,3,complete,2006,Zlaté Moravce,2014,Košice,0,3,1,1443.23,1578.80,1,0,33,5.5400,3.7400,1.6900,1,7.00,2.00,0.71,1.82,0,0,0.5,0,0,0,0,0.2647058823529412,-0.1895424836601307,0
115723,440,2014/2015,3,complete,110,Trenčín,2005,Podbrezová,1,2,0,1686.12,1426.96,2,0,0,1.4800,4.5700,6.7800,2,2.00,8.00,2.71,0.35,0,3,3,0,0,0,0.2847222222222222,0,0,0.0
115723,440,2014/2015,3,complete,2005,Podbrezová,110,Trenčín,0,0,2,1426.96,1686.12,2,0,0,6.7800,4.5700,1.4800,2,8.00,2.00,0.35,2.71,3,0,0,3,0,0,0,0.2847222222222222,0.0,0
115724,440,2014/2015,4,complete,982,Slovan Bratislava,2011,Ružomberok,1,2,1,1731.85,1492.41,2,67,33,1.3800,4.9900,8.6500,2,2.00,6.00,2.00,0.75,1,3,3,0.67,0,0,-0.02777777777777779,0,0,0.10216718266253871
