match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
919593,4307,2013,2,complete,670,Åtvidaberg,656,Malmö FF,1,1,3,1592.35,1566.51,1,0,50,0.0000,0.0000,0.0000,1,4.00,4.00,1.67,2.00,0,0,0,1,0,0,0.0,0,0,-0.2916666666666667
919593,4307,2013,2,complete,656,Malmö FF,670,Åtvidaberg,0,3,1,1566.51,1592.35,1,50,0,0.0000,0.0000,0.0000,1,4.00,4.00,2.00,1.67,0,0,1,0,0,0,0,0.0,-0.2916666666666667,0
919597,4307,2013,2,complete,661,AIK,682,Syrianska,1,0,0,1681.85,1416.29,0,50,50,0.0000,0.0000,0.0000,0,5.00,6.00,2.13,0.47,0,0,1,0,0,0,0.42500000000000004,0,0,-0.24166666666666667
919597,4307,2013,2,complete,682,Syrianska,661,AIK,0,0,0,1416.29,1681.85,0,50,50,0.0000,0.0000,0.0000,0,6.00,5.00,0.47,2.13,0,0,0,1,0,0,0,0.42500000000000004,-0.24166666666666667,0
919600,4307,2013,2,complete,665,IFK Göteborg,672,Brommapojkarna,1,2,0,1632.66,1497.74,2,50,0,0.0000,0.0000,0.0000,2,7.00,5.00,2.40,0.47,0,0,3,1,0,0,0.029166666666666674,0,0,0.0
919600,4307,2013,2,complete,672,Brommapojkarna,665,IFK Göteborg,0,0,2,1497.74,1632.66,2,0,50,0.0000,0.0000,0.0000,2,5.00,7.00,0.47,2.40,0,0,1,3,0,0,0,0.029166666666666674,0.0,0
919606,4307,2013,2,complete,657,Halmstad,663,Elfsborg,1,1,1,1462.62,1559.68,0,0,100,0.0000,0.0000,0.0000,0,6.00,6.00,1.00,1.47,0,0,1,1,0,0,0.07083333333333333,0,0,-0.35
919606,4307,2013,2,complete,663,Elfsborg,657,Halmstad,0,1,1,1559.68,1462.62,0,100,0,0.0000,0.0000,0.0000,0,6.00,6.00,1.47,1.00,0,0,1,1,0,0,0,0.07083333333333333,-0.35,0
919610,4307,2013,2,complete,666,Kalmar,664,Häcken,1,0,0,1612.40,1523.80,0,50,25,0.0000,0.0000,0.0000,0,7.00,7.00,1.67,1.00,0,0,3,0,0,0,0.41666666666666663,0,0,-0.22916666666666669
919610,4307,2013,2,complete,664,Häcken,666,Kalmar,0,0,0,1523.80,1612.40,0,25,50,0.0000,0.0000,0.0000,0,7.00,7.00,1.00,1.67,0,0,0,3,0,0,0,0.41666666666666663,-0.22916666666666669,0
919614,4307,2013,2,complete,659,Djurgården,671,Mjällby,1,0,1,1572.79,1485.76,1,50,50,0.0000,0.0000,0.0000,1,8.00,7.00,1.67,0.73,0,0,0,0,0,0,0.15000000000000002,0,0,-0.10416666666666669
919614,4307,2013,2,complete,671,Mjällby,659,Djurgården,0,1,0,1485.76,1572.79,1,50,50,0.0000,0.0000,0.0000,1,7.00,8.00,0.73,1.67,0,0,0,0,0,0,0,0.15000000000000002,-0.10416666666666669,0
919618,4307,2013,2,complete,125,Norrköping,668,Gefle,1,2,1,1576.44,1511.46,2,0,50,0.0000,0.0000,0.0000,2,7.00,7.00,1.47,0.67,0,0,3,3,0,0,0.15000000000000002,0,0,-0.3
919618,4307,2013,2,complete,668,Gefle,125,Norrköping,0,1,2,1511.46,1576.44,2,50,0,0.0000,0.0000,0.0000,2,7.00,7.00,0.67,1.47,0,0,3,3,0,0,0,0.15000000000000002,-0.3,0
919621,4307,2013,2,complete,683,Öster,667,Helsingborg,1,1,1,1602.26,1609.39,0,0,0,0.0000,0.0000,0.0000,0,7.00,8.00,0.93,1.47,0,0,1,3,0,0,0.0,0,0,-0.15416666666666667
919621,4307,2013,2,complete,667,Helsingborg,683,Öster,0,1,1,1609.39,1602.26,0,0,0,0.0000,0.0000,0.0000,0,8.00,7.00,1.47,0.93,0,0,3,1,0,0,0,0.0,-0.15416666666666667,0
919625,4307,2013,3,complete,672,Brommapojkarna,125,Norrköping,1,1,0,1590.75,1484.95,2,0,0,0.0000,0.0000,0.0000,2,5.00,4.00,1.67,1.13,3,1,0.5,3,0,0,0.0,0,0,-0.1875
919625,4307,2013,3,complete,125,Norrköping,672,Brommapojkarna,0,0,1,1484.95,1590.75,2,0,0,0.0000,0.0000,0.0000,2,4.00,5.00,1.13,1.67,1,3,3,0.5,0,0,0,0.0,-0.1875,0
919629,4307,2013,3,complete,682,Syrianska,683,Öster,1,0,1,1521.74,1502.43,1,0,0,0.0000,0.0000,0.0000,1,6.00,4.00,0.47,0.93,1,0,0.5,1,0,0,0.25,0,0,0.0
919629,4307,2013,3,complete,683,Öster,682,Syrianska,0,1,0,1502.43,1521.74,1,0,0,0.0000,0.0000,0.0000,1,4.00,6.00,0.93,0.47,0,1,1,0.5,0,0,0,0.25,0.0,0
919633,4307,2013,3,complete,656,Malmö FF,666,Kalmar,1,1,0,1677.11,1510.38,2,75,25,0.0000,0.0000,0.0000,2,8.00,6.00,2.20,1.80,3,1,2,2,0,0,0.25,0,0,-0.375
919633,4307,2013,3,complete,666,Kalmar,656,Malmö FF,0,0,1,1510.38,1677.11,2,25,75,0.0000,0.0000,0.0000,2,6.00,8.00,1.80,2.20,1,3,2,2,0,0,0,0.25,-0.375,0
919637,4307,2013,3,complete,670,Åtvidaberg,661,AIK,1,1,0,1581.75,1576.40,2,0,50,0.0000,0.0000,0.0000,2,8.00,7.00,1.67,1.73,1,0,0,1,0,0,0.0,0,0,-0.375
919637,4307,2013,3,complete,661,AIK,670,Åtvidaberg,0,0,1,1576.40,1581.75,2,50,0,0.0000,0.0000,0.0000,2,7.00,8.00,1.73,1.67,0,1,1,0,0,0,0,0.0,-0.375,0
919641,4307,2013,3,complete,668,Gefle,657,Halmstad,1,2,0,1602.95,1364.81,2,25,50,0.0000,0.0000,0.0000,2,5.00,7.00,1.60,1.07,1,3,1.5,1,0,0,0.3125,0,0,-0.0625
919641,4307,2013,3,complete,657,Halmstad,668,Gefle,0,0,2,1364.81,1602.95,2,50,25,0.0000,0.0000,0.0000,2,7.00,5.00,1.07,1.60,3,1,1,1.5,0,0,0,0.3125,-0.0625,0
919645,4307,2013,3,complete,664,Häcken,659,Djurgården,1,4,0,1625.81,1460.81,2,75,25,0.0000,0.0000,0.0000,2,7.00,5.00,1.47,1.27,0,0,0.5,0,0,0,0.25,0,0,-0.125
919645,4307,2013,3,complete,659,Djurgården,664,Häcken,0,0,4,1460.81,1625.81,2,25,75,0.0000,0.0000,0.0000,2,5.00,7.00,1.27,1.47,0,0,0,0.5,0,0,0,0.25,-0.125,0
919649,4307,2013,3,complete,667,Helsingborg,671,Mjällby,1,1,2,1709.22,1497.74,1,100,0,0.0000,0.0000,0.0000,1,6.00,7.00,1.80,0.73,3,3,2,1.5,0,0,0.1875,0,0,-0.0625
919649,4307,2013,3,complete,671,Mjällby,667,Helsingborg,0,2,1,1497.74,1709.22,1,0,100,0.0000,0.0000,0.0000,1,7.00,6.00,0.73,1.80,3,3,1.5,2,0,0,0,0.1875,-0.0625,0
919653,4307,2013,3,complete,663,Elfsborg,665,IFK Göteborg,1,0,0,1657.48,1539.65,0,25,25,0.0000,0.0000,0.0000,0,8.00,8.00,1.60,1.20,3,1,1,3,0,0,0.375,0,0,-0.0625
919653,4307,2013,3,complete,665,IFK Göteborg,663,Elfsborg,0,0,0,1539.65,1657.48,0,25,25,0.0000,0.0000,0.0000,0,8.00,8.00,1.20,1.60,1,3,3,1,0,0,0,0.375,-0.0625,0
919656,4307,2013,4,complete,683,Öster,664,Häcken,1,2,0,1612.87,1532.18,2,0,0,0.0000,0.0000,0.0000,2,4.00,3.00,0.93,1.00,1,1,1.67,1.33,0,0,-0.5,0,0,-0.2757352941176471
919656,4307,2013,4,complete,664,Häcken,683,Öster,0,0,2,1532.18,1612.87,2,0,0,0.0000,0.0000,0.0000,2,3.00,4.00,1.00,0.93,1,1,1.33,1.67,0,0,0,-0.5,-0.2757352941176471,0
919661,4307,2013,4,complete,657,Halmstad,670,Åtvidaberg,1,0,0,1459.81,1491.63,0,50,0,0.0000,0.0000,0.0000,0,3.00,3.00,1.00,1.00,0,1,0.67,1,0,0,0.0661764705882353,0,0,-0.5
919661,4307,2013,4,complete,670,Åtvidaberg,657,Halmstad,0,0,0,1491.63,1459.81,0,0,50,0.0000,0.0000,0.0000,0,3.00,3.00,1.00,1.00,1,0,1,0.67,0,0,0,0.0661764705882353,-0.5,0
919665,4307,2013,4,complete,661,AIK,656,Malmö FF,1,0,1,1666.52,1583.45,1,50,25,0.0000,0.0000,0.0000,1,3.00,3.00,2.13,2.00,3,1,0.67,2.33,0,0,0.39705882352941174,0,0,-0.2720588235294118
919665,4307,2013,4,complete,656,Malmö FF,661,AIK,0,1,0,1583.45,1666.52,1,25,50,0.0000,0.0000,0.0000,1,3.00,3.00,2.00,2.13,1,3,2.33,0.67,0,0,0,0.39705882352941174,-0.2720588235294118,0
919669,4307,2013,4,complete,659,Djurgården,672,Brommapojkarna,1,1,1,1554.44,1498.36,0,50,0,0.0000,0.0000,0.0000,0,4.00,6.00,1.67,0.47,0,0,0,1.33,0,0,0.13970588235294118,0,0,-0.5
919669,4307,2013,4,complete,672,Brommapojkarna,659,Djurgården,0,1,1,1498.36,1554.44,0,0,50,0.0000,0.0000,0.0000,0,6.00,4.00,0.47,1.67,0,0,1.33,0,0,0,0,0.13970588235294118,-0.5,0
919672,4307,2013,4,complete,665,IFK Göteborg,682,Syrianska,1,2,0,1642.30,1411.30,2,100,0,0.0000,0.0000,0.0000,2,2.00,5.00,2.40,0.47,1,3,2.33,0.33,0,0,0.08823529411764708,0,0,-0.22794117647058826
919672,4307,2013,4,complete,682,Syrianska,665,IFK Göteborg,0,0,2,1411.30,1642.30,2,0,100,0.0000,0.0000,0.0000,2,5.00,2.00,0.47,2.40,3,1,0.33,2.33,0,0,0,0.08823529411764708,-0.22794117647058826,0
919677,4307,2013,4,complete,671,Mjällby,668,Gefle,1,1,0,1612.26,1507.95,2,25,25,0.0000,0.0000,0.0000,2,3.00,4.00,1.67,0.67,0,0,2,2,0,0,0.02573529411764708,0,0,-0.34191176470588236
919677,4307,2013,4,complete,668,Gefle,671,Mjällby,0,0,1,1507.95,1612.26,2,25,25,0.0000,0.0000,0.0000,2,4.00,3.00,0.67,1.67,0,0,2,2,0,0,0,0.02573529411764708,-0.34191176470588236,0
919678,4307,2013,4,complete,666,Kalmar,663,Elfsborg,1,1,1,1604.04,1554.83,0,25,25,0.0000,0.0000,0.0000,0,4.00,2.00,1.67,1.47,1,1,1.33,1,0,0,0.3897058823529412,0,0,-0.3308823529411765
919678,4307,2013,4,complete,663,Elfsborg,666,Kalmar,0,1,1,1554.83,1604.04,0,25,25,0.0000,0.0000,0.0000,0,2.00,4.00,1.47,1.67,1,1,1,1.33,0,0,0,0.3897058823529412,-0.3308823529411765,0
919682,4307,2013,4,complete,125,Norrköping,667,Helsingborg,1,1,4,1577.34,1594.70,1,0,0,0.0000,0.0000,0.0000,1,6.00,3.00,1.47,1.47,1,3,2,1.33,0,0,0.20220588235294118,0,0,-0.1470588235294118
919682,4307,2013,4,complete,667,Helsingborg,125,Norrköping,0,4,1,1594.70,1577.34,1,0,0,0.0000,0.0000,0.0000,1,3.00,6.00,1.47,1.47,3,1,1.33,2,0,0,0,0.20220588235294118,-0.1470588235294118,0
919686,4307,2013,5,complete,670,Åtvidaberg,665,IFK Göteborg,1,1,2,1590.90,1547.43,1,50,50,0.0000,0.0000,0.0000,1,3.00,2.00,1.67,1.20,2,1.5,1,2.5,0,0,0.5,0,0,-0.11764705882352944
919686,4307,2013,5,complete,665,IFK Göteborg,670,Åtvidaberg,0,2,1,1547.43,1590.90,1,50,50,0.0000,0.0000,0.0000,1,2.00,3.00,1.20,1.67,1.5,2,2.5,1,0,0,0,0.5,-0.11764705882352944,0
