match_id,competition_id,season,game_week,match_status,team_id,team_name,opponent_id,opponent_name,is_home,team_goal_count,opponent_goal_count,team_ELO_before,opponent_ELO_before,result,team_h2h_win_percent,opponent_h2h_win_percent,odds_team_win,odds_draw,odds_opponent_win,winning_team,team_rest_days,opponent_rest_days,team_ppg,opponent_ppg,opponent_ppg_mc,team_ppg_mc,pre_match_home_ppg,pre_match_away_ppg,pre_match_home_xg,pre_match_away_xg,team_home_advantage,opponent_home_advantage,team_away_advantage,opponent_away_advantage
98785,363,2014/2015,2,complete,1678,Vorskla,80,Shakhtar Donetsk,1,1,2,1601.65,1624.45,1,50,50,9.4500,4.9000,1.3800,1,5.00,5.00,2.00,2.00,0,0,0,3,0,0,-0.10833333333333334,0,0,-0.21250000000000002
98785,363,2014/2015,2,complete,80,Shakhtar Donetsk,1678,Vorskla,0,2,1,1624.45,1601.65,1,50,50,1.3800,4.9000,9.4500,1,5.00,5.00,2.00,2.00,0,0,3,0,0,0,0,-0.10833333333333334,-0.21250000000000002,0
98786,363,2014/2015,2,complete,996,Metalist,123,Dynamo Kyiv,1,1,2,1707.28,1574.50,1,50,50,3.2600,3.4200,2.2900,1,5.00,5.00,1.54,2.69,0,0,3,3,0,0,0.22916666666666663,0,0,-0.2875
98786,363,2014/2015,2,complete,123,Dynamo Kyiv,996,Metalist,0,2,1,1574.50,1707.28,1,50,50,2.2900,3.4200,3.2600,1,5.00,5.00,2.69,1.54,0,0,3,3,0,0,0,0.22916666666666663,-0.2875,0
98787,363,2014/2015,2,complete,1683,Volyn,979,Dnipro Dnipropetrovsk,1,0,1,1543.85,1606.55,1,0,100,7.4900,4.5200,1.4700,1,7.00,3.00,1.23,2.23,3,0,3,3,0,0,0.14583333333333331,0,0,-0.10416666666666663
98787,363,2014/2015,2,complete,979,Dnipro Dnipropetrovsk,1683,Volyn,0,1,0,1606.55,1543.85,1,100,0,1.4700,4.5200,7.4900,1,3.00,7.00,2.23,1.23,0,3,3,3,0,0,0,0.14583333333333331,-0.10416666666666663,0
98788,363,2014/2015,2,complete,1684,Metalurh Zaporizhya,1685,Hoverla,1,2,1,1462.71,1436.01,2,0,50,2.0100,3.3400,4.2000,2,6.00,6.00,1.00,0.54,0,0,0,1,0,0,0.13333333333333333,0,0,0.07916666666666666
98788,363,2014/2015,2,complete,1685,Hoverla,1684,Metalurh Zaporizhya,0,1,2,1436.01,1462.71,2,50,0,4.2000,3.3400,2.0100,2,6.00,6.00,0.54,1.00,0,0,1,0,0,0,0,0.13333333333333333,0.07916666666666666,0
98789,363,2014/2015,2,complete,1679,Olimpik Donetsk,1681,Zorya,1,1,0,1481.22,1515.41,2,0,0,7.1300,4.3600,1.5000,2,7.00,2.00,1.54,1.62,0,0,0,0,0,0,0.0,0,0,-0.17083333333333334
98789,363,2014/2015,2,complete,1681,Zorya,1679,Olimpik Donetsk,0,0,1,1515.41,1481.22,2,0,0,1.5000,4.3600,7.1300,2,2.00,7.00,1.62,1.54,0,0,0,0,0,0,0,0.0,-0.17083333333333334,0
98790,363,2014/2015,2,complete,1680,Karpaty,1686,Metalurh Donetsk,1,0,1,1581.13,1517.22,1,0,0,2.9600,3.2600,2.5600,1,7.00,9.00,1.08,0.77,0,0,1,0,0,0,0.07916666666666666,0,0,-0.3625
