matchID,predictedTeam,winningTeam,is_correct,betting_score,betting_score_interval,home_name,away_name
7526886_2024/2025,1380,1380,True,51.510393939393936,50-55,Vllaznia Shkodër,Skënderbeu Korçë
7526889_2024/2025,-1,-1,True,59.1405909090909,55-60,Bylis Ballsh,Laçi
7526890_2024/2025,1789,1789,True,57.714,55-60,Egnatia Rrogozhinë,Tirana
7468186_2024/2025,86,2432,False,76.10934848484847,75-80,Sparta Praha,Baník Ostrava
7468188_2024/2025,77,2426,False,56.5530303030303,55-60,Slovácko,Viktoria Plzeň
7468189_2024/2025,1213,-1,False,68.667,65-70,Hradec Králové,Slavia Praha
7468191_2024/2025,2428,-1,False,70.56093939393939,70-75,České Budějovice,Slovan Liberec
7468967_2024/2025,448,490,False,62.17706060606061,60-65,Clermont,Lorient
7468969_2024/2025,494,-1,False,75.39393939393939,75-80,Paris,Rodez
7468970_2024/2025,436,436,True,71.60984848484848,70-75,Guingamp,Grenoble Foot 38
7468971_2024/2025,3897,3897,True,65.17045454545453,65-70,Annecy,Pau
7468972_2024/2025,1390,1390,True,81.78804545454545,80-85,Dunkerque,Amiens SC
7468973_2024/2025,-1,485,False,59.12972727272726,55-60,Martigues,Red Star
7364968_2024,1090,1090,True,84.10054545454544,80-85,Grobiņa,Rīgas FS
7364969_2024,1089,1089,True,85.92713636363636,85-90,Riga,Metta - LU
7364971_2024,6910,-1,False,68.48478787878787,65-70,BFC Daugavpils,Valmiera / BSS
7486606_2024/2025,6622,6622,True,58.03080303030303,55-60,SCM Gloria Buzău,CFR Cluj
7486610_2024/2025,5400,5400,True,61.06439393939394,60-65,Dinamo Bucureşti,UTA Arad
7486620_2024/2025,10306,-1,False,69.7885606060606,65-70,Universitatea Cluj,SSC Farul
7516382_2024/2025,193,-1,False,49.040257575757565,45-50,Kayserispor,Adana Demirspor
7516384_2024/2025,105,105,True,58.52316666666666,55-60,Trabzonspor,Fenerbahçe
7516387_2024/2025,355,355,True,57.52316666666666,55-60,Gazişehir Gaziantep,Göztepe
7452333_2024/2025,2516,2516,True,76.57901515151514,75-80,AGF,Lyngby
7452335_2024/2025,986,986,True,66.61396969696969,65-70,Nordsjælland,Viborg
7452336_2024/2025,974,-1,False,65.78787878787878,65-70,AaB,Vejle
7452337_2024/2025,955,2517,False,75.70471212121213,75-80,Midtjylland,Brøndby
7452338_2024/2025,2521,2521,True,59.62121212121212,55-60,SønderjyskE,Randers
7466767_2024/2025,-1,148,False,59.50995454545455,55-60,AFC Bournemouth,Manchester City
7466770_2024/2025,151,151,True,56.62922727272727,55-60,Liverpool,Brighton & Hove Albion
7466771_2024/2025,152,-1,False,53.280803030303026,50-55,Manchester United,Chelsea
