Date;Type;Sport;Label;Odds;Stake;State;Bookmaker
2024-11-03 16:00;S;Football;Vllaznia Shkodër VS Skënderbeu Korçë --Prediction Home Win;1.0;5;P;Unknown
2024-11-04 17:00;S;Football;Partizani Tirana VS Teuta Durrës --Prediction Away Win;1.0;5;P;Unknown
2024-11-04 17:00;S;Football;AF Elbasani VS Dinamo Tirana --Prediction Home Win;1.0;5;P;Unknown
2024-11-04 13:00;S;Football;Bylis Ballsh VS Laçi --Prediction Draw;1.0;5;P;Unknown
2024-11-03 13:00;S;Football;Egnatia Rrogozhinë VS Tirana --Prediction Home Win;1.0;5;P;Unknown
2024-11-02 18:00;S;Football;Sparta Praha VS Baník Ostrava --Prediction Home Win;1.43;5;P;Dafabet
2024-11-03 14:30;S;Football;Slovácko VS Viktoria Plzeň --Prediction Away Win;2.05;5;P;Unibet
2024-11-03 17:30;S;Football;Hradec Králové VS Slavia Praha --Prediction Away Win;1.41;5;P;Dafabet
2024-11-03 12:00;S;Football;České Budějovice VS Slovan Liberec --Prediction Away Win;2.01;5;P;Pncl
2024-11-04 19:45;S;Football;Ajaccio VS Metz --Prediction Home Win;1.0;5;P;Unknown
2024-11-01 19:00;S;Football;Clermont VS Lorient --Prediction Away Win;1.91;5;P;Sbo
2024-11-01 19:00;S;Football;Paris VS Rodez --Prediction Home Win;1.73;5;P;Dafabet
2024-11-02 19:00;S;Football;Guingamp VS Grenoble Foot 38 --Prediction Home Win;1.85;5;P;Sbo
2024-11-01 19:00;S;Football;Annecy VS Pau --Prediction Home Win;2.44;5;P;Dafabet
2024-11-01 19:00;S;Football;Dunkerque VS Amiens SC --Prediction Home Win;2.38;5;P;Betway
2024-11-01 19:00;S;Football;Martigues VS Red Star --Prediction Draw;3.36;5;P;Marathon
2024-11-03 11:00;S;Football;Grobiņa VS Rīgas FS --Prediction Away Win;1.1;5;P;BetClic
2024-11-03 11:00;S;Football;Riga VS Metta - LU --Prediction Home Win;1.1;5;P;bet365
2024-11-03 11:00;S;Football;BFC Daugavpils VS Valmiera / BSS --Prediction Away Win;1.37;5;P;Pncl
2024-11-01 19:00;S;Football;SCM Gloria Buzău VS CFR Cluj --Prediction Away Win;1.6;5;P;Unibet
2024-11-02 19:00;S;Football;Dinamo Bucureşti VS UTA Arad --Prediction Home Win;1.97;5;P;Pncl
2024-11-04 19:00;S;Football;Rapid Bucureşti VS Hermannstadt --Prediction Home Win;1.0;5;P;Unknown
2024-11-03 14:00;S;Football;Universitatea Cluj VS SSC Farul --Prediction Home Win;1.93;5;P;1xbet
2024-11-02 16:00;S;Football;Beşiktaş VS Kasımpaşa --Prediction Home Win;1.62;5;P;1xbet
2024-11-02 13:00;S;Football;Kayserispor VS Adana Demirspor --Prediction Home Win;1.65;5;P;1xbet
2024-11-03 16:00;S;Football;Trabzonspor VS Fenerbahçe --Prediction Away Win;1.85;5;P;1xbet
2024-11-03 13:00;S;Football;Eyüpspor VS Hatayspor --Prediction Home Win;1.79;5;P;1xbet
2024-11-01 17:00;S;Football;Gazişehir Gaziantep VS Göztepe --Prediction Home Win;2.47;5;P;1xbet
2024-10-20 15:00;S;Football;Artsakh VS Van --Prediction Home Win;1.49;5;P;1xbet
2024-10-21 15:00;S;Football;West Armenia VS Banants --Prediction Away Win;1.0;5;P;Unknown
2024-10-22 15:00;S;Football;Shirak VS FC Avan Academy --Prediction Away Win;1.0;5;P;Unknown
2024-10-23 12:00;S;Football;Gandzasar VS Alashkert --Prediction Away Win;1.0;5;P;Unknown
2024-10-23 14:00;S;Football;BKMA VS Pyunik --Prediction Away Win;1.0;5;P;Unknown
2024-11-03 15:00;S;Football;AGF VS Lyngby --Prediction Home Win;1.47;5;P;1xbet
2024-11-04 18:00;S;Football;København VS Silkeborg --Prediction Home Win;1.45;5;P;1xbet
2024-11-03 13:00;S;Football;Nordsjælland VS Viborg --Prediction Home Win;1.65;5;P;1xbet
2024-11-03 17:00;S;Football;AaB VS Vejle --Prediction Home Win;2.01;5;P;1xbet
2024-11-03 13:00;S;Football;Midtjylland VS Brøndby --Prediction Home Win;2.4;5;P;Pncl
2024-11-02 16:00;S;Football;SønderjyskE VS Randers --Prediction Away Win;2.1;5;P;10Bet
2024-11-02 15:00;S;Football;AFC Bournemouth VS Manchester City --Prediction Draw;4.6;5;P;NordicBet
2024-11-02 15:00;S;Football;Liverpool VS Brighton & Hove Albion --Prediction Home Win;1.44;5;P;WilliamHill
2024-11-03 16:30;S;Football;Manchester United VS Chelsea --Prediction Away Win;2.6;5;P;bet365
