Date;Type;Sport;Label;Odds;Stake;State;Bookmaker
2024-11-02 18:00;S;Football;Sparta Praha VS Baník Ostrava --Prediction Home Win;1.43;5;P;Dafabet
2024-11-03 17:30;S;Football;Hradec Králové VS Slavia Praha --Prediction Away Win;1.41;5;P;Dafabet
2024-11-03 12:00;S;Football;České Budějovice VS Slovan Liberec --Prediction Away Win;2.01;5;P;bet365
2024-11-04 19:45;S;Football;Ajaccio VS Metz --Prediction Home Win;1.0;5;P;bet365
2024-11-01 19:00;S;Football;Clermont VS Lorient --Prediction Away Win;1.91;5;P;bet365
2024-11-01 19:00;S;Football;Paris VS Rodez --Prediction Home Win;1.73;5;P;Dafabet
2024-11-02 19:00;S;Football;Guingamp VS Grenoble Foot 38 --Prediction Home Win;1.85;5;P;bet365
2024-11-01 19:00;S;Football;Annecy VS Pau --Prediction Home Win;2.44;5;P;Dafabet
2024-11-03 11:00;S;Football;BFC Daugavpils VS Valmiera / BSS --Prediction Away Win;1.37;5;P;bet365
2024-11-02 19:00;S;Football;Dinamo Bucureşti VS UTA Arad --Prediction Home Win;1.97;5;P;bet365
2024-11-03 14:00;S;Football;Universitatea Cluj VS SSC Farul --Prediction Home Win;1.93;5;P;1xbet
2024-11-02 16:00;S;Football;Beşiktaş VS Kasımpaşa --Prediction Home Win;1.62;5;P;1xbet
2024-11-03 13:00;S;Football;Eyüpspor VS Hatayspor --Prediction Home Win;1.79;5;P;1xbet
2024-10-20 15:00;S;Football;Artsakh VS Van --Prediction Home Win;1.49;5;P;1xbet
2024-10-21 15:00;S;Football;West Armenia VS Banants --Prediction Away Win;1.0;5;P;bet365
2024-10-23 14:00;S;Football;BKMA VS Pyunik --Prediction Away Win;1.0;5;P;bet365
2024-11-03 15:00;S;Football;AGF VS Lyngby --Prediction Home Win;1.47;5;P;1xbet
2024-11-03 13:00;S;Football;Nordsjælland VS Viborg --Prediction Home Win;1.65;5;P;1xbet
2024-11-03 17:00;S;Football;AaB VS Vejle --Prediction Home Win;2.01;5;P;1xbet
2024-11-03 13:00;S;Football;Midtjylland VS Brøndby --Prediction Home Win;2.4;5;P;bet365
2024-11-04 20:00;S;Football;Fulham VS Brentford --Prediction Home Win;1.0;5;P;bet365
2024-11-02 15:00;S;Football;Southampton VS Everton --Prediction Away Win;2.75;5;P;Interwetten
2024-11-03 12:30;S;Football;Hamburger SV VS Nürnberg --Prediction Home Win;1.57;5;P;1xbet
2024-11-02 12:00;S;Football;Hannover 96 VS Karlsruher SC --Prediction Home Win;2.1;5;P;bwin
2024-11-03 12:30;S;Football;Paderborn VS Eintracht Braunschweig --Prediction Home Win;1.71;5;P;1xbet
2024-11-03 12:30;S;Football;Kaiserslautern VS Magdeburg --Prediction Away Win;3.0;5;P;Unibet
2024-11-03 14:00;S;Football;Zimbru VS Dacia-Buiucani --Prediction Home Win;1.0;5;P;bet365
2024-11-02 14:00;S;Football;Milsami VS Sheriff --Prediction Away Win;1.0;5;P;bet365
2024-11-03 12:00;S;Football;CSF Bălți VS Floreşti --Prediction Home Win;1.0;5;P;bet365
2025-01-09 20:00;S;Football;Dundee VS Rangers --Prediction Away Win;1.0;5;P;bet365
2024-11-02 15:00;S;Football;St. Mirren VS Ross County --Prediction Home Win;1.0;5;P;bet365
2025-05-02 22:00;S;Football;Inhulets VS Dynamo Kyiv --Prediction Away Win;1.0;5;P;bet365
2024-11-02 16:00;S;Football;Sturm Graz VS Rapid Wien --Prediction Home Win;2.36;5;P;bet365
2024-11-03 13:30;S;Football;Austria Klagenfurt VS Wolfsberger AC --Prediction Away Win;2.3;5;P;bet365
2024-11-02 10:30;S;Football;Kuressaare VS Nõmme Kalju --Prediction Away Win;1.51;5;P;Dafabet
2024-11-03 12:30;S;Football;Tallinna FC Levadia VS Tallinna FC Flora --Prediction Home Win;1.83;5;P;bet365
2024-11-02 14:30;S;Football;Bayern München VS Union Berlin --Prediction Home Win;1.22;5;P;bet365
2024-11-02 14:30;S;Football;Eintracht Frankfurt VS Bochum --Prediction Home Win;1.36;5;P;1xbet
2024-11-02 14:30;S;Football;Hoffenheim VS St. Pauli --Prediction Home Win;1.92;5;P;1xbet
