Date;Type;Sport;Label;Odds;Stake;State;Bookmaker
2024-11-02 18:00;S;Football;Sparta Praha VS Baník Ostrava --Prediction Home Win;1.43;5;P;Dafabet
2024-11-02 10:30;S;Football;Kuressaare VS Nõmme Kalju --Prediction Away Win;1.51;5;P;Dafabet
2024-11-03 13:00;S;Football;Nordsjælland VS Viborg --Prediction Home Win;1.65;5;P;1xbet
2024-11-03 13:00;S;Football;Midtjylland VS Brøndby --Prediction Home Win;2.4;5;P;bet365
2024-11-04 15:30;S;Football;Mladost Lučani VS Spartak Subotica --Prediction Home Win;1.0;5;P;bet365
2024-11-02 13:00;S;Football;Novi Pazar VS IMT Novi Beograd --Prediction Home Win;1.92;5;P;1xbet
2024-11-02 13:00;S;Football;CA Osasuna VS Real Valladolid --Prediction Home Win;1.67;5;P;1xbet
2024-11-01 20:00;S;Football;Deportivo Alavés VS RCD Mallorca --Prediction Away Win;3.35;5;P;Unibet
2024-11-02 15:30;S;Football;Puskás VS Újpest --Prediction Home Win;1.67;5;P;Tipico
2024-11-03 17:30;S;Football;Hradec Králové VS Slavia Praha --Prediction Away Win;1.41;5;P;Dafabet
2024-11-03 14:00;S;Football;Toulouse VS Reims --Prediction Away Win;3.75;5;P;Betfair
2024-11-03 16:00;S;Football;Le Havre VS Montpellier --Prediction Draw;3.6;5;P;Dafabet
2024-11-02 18:00;S;Football;Brest VS Nice --Prediction Home Win;2.75;5;P;1xbet
2024-11-04 19:45;S;Football;Ajaccio VS Metz --Prediction Home Win;1.0;5;P;bet365
2024-11-09 15:00;S;Football;AFC Wimbledon VS Grimsby Town --Prediction Home Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Bristol Rovers VS Shrewsbury Town --Prediction Home Win;1.0;5;P;bet365
2025-01-08 19:45;S;Football;Celtic VS Dundee United --Prediction Home Win;1.0;5;P;bet365
2024-10-31 19:30;S;Football;Grasshopper VS Lugano --Prediction Away Win;2.16;5;P;bet365
2024-11-02 12:00;S;Football;Hannover 96 VS Karlsruher SC --Prediction Home Win;2.1;5;P;bwin
2024-11-02 14:30;S;Football;Bayern München VS Union Berlin --Prediction Home Win;1.22;5;P;bet365
2024-11-03 16:30;S;Football;Borussia M'gladbach VS Werder Bremen --Prediction Away Win;3.3;5;P;Unibet
2024-11-03 14:00;S;Football;Cesena VS Südtirol --Prediction Home Win;1.0;5;P;bet365
2024-11-03 14:00;S;Football;Zimbru VS Dacia-Buiucani --Prediction Home Win;1.0;5;P;bet365
2024-11-02 16:00;S;Football;Beşiktaş VS Kasımpaşa --Prediction Home Win;1.62;5;P;1xbet
2024-11-03 13:00;S;Football;Eyüpspor VS Hatayspor --Prediction Home Win;1.79;5;P;1xbet
2024-10-30 17:00;S;Football;Skalica VS Slovan Bratislava --Prediction Away Win;1.0;5;P;bet365
2024-10-22 18:45;S;Football;Burton Albion VS Wycombe Wanderers --Prediction Away Win;1.0;5;P;bet365
