matchID,homeID,home_name,awayID,away_name,winningTeam,predictedTeam,MCS,game_week,date,probabilities,best_odds_1,best_organisation_1,avg_odds_1,best_odds_X,best_organisation_X,avg_odds_X,best_odds_2,best_organisation_2,avg_odds_2,best_predicted_odds,best_organisation,avg_predicted_odds,league_threshold_accuracy,team_accuracies,league_name,average_team_accuracy,betting_score,stake,profit_loss_best,profit_loss_avg
7526860_2024/2025,1380,Vllaznia Shkodër,1388,Bylis Ballsh,1380,1380,0.6242424242424243,6,2024-09-22 16:00:00,"{'Prob_Draw': 0.2787878787878788, 'Prob_Away_Win': 0.09696969696969696, 'Prob_Home_Win': 0.6242424242424243}",1.69,Planetwin365,1.4305882352941175,4.4,CloudBet,4.053750000000001,7.0,WilliamHill,6.294375,1.69,Planetwin365,1.4305882352941175,0.42857142857142855,"{1380: 33.33, 1388: 60.0}",albania_superliga,46.665,0.6242424242424243,5,3.4499999999999993,2.1529411764705877
7526866_2024/2025,62,Partizani Tirana,1388,Bylis Ballsh,62,62,0.6333333333333333,8,2024-10-05 18:00:00,"{'Prob_Draw': 0.23030303030303031, 'Prob_Away_Win': 0.13636363636363635, 'Prob_Home_Win': 0.6333333333333333}",1.29,Betway,1.2375,5.17,1xbet,4.90875,11.0,Betfair,10.15625,1.29,Betway,1.2375,0.42857142857142855,"{62: 40.0, 1388: 60.0}",albania_superliga,50.0,0.6333333333333333,5,1.4500000000000002,1.1875
7526870_2024/2025,1380,Vllaznia Shkodër,909634,AF Elbasani,-1,1380,0.5575757575757576,8,2024-10-06 18:00:00,"{'Prob_Draw': 0.3090909090909091, 'Prob_Away_Win': 0.13333333333333333, 'Prob_Home_Win': 0.5575757575757576}",2.1,CloudBet,1.8539999999999999,3.25,bet365,3.117,4.4,CloudBet,4.049,2.1,CloudBet,1.8539999999999999,0.42857142857142855,"{1380: 33.33, 909634: 0.0}",albania_superliga,16.665,0.5575757575757576,5,-5.0,-5.0
7468089_2024/2025,1213,Slavia Praha,2439,České Budějovice,1213,1213,0.6727272727272727,2,2024-07-27 19:00:00,"{'Prob_Draw': 0.2, 'Prob_Away_Win': 0.12727272727272726, 'Prob_Home_Win': 0.6727272727272727}",1.08,Betfair,1.0545833333333334,19.07,Pncl,11.712916666666667,44.0,Betfair,26.38666666666667,1.08,Betfair,1.0545833333333334,0.6666666666666666,"{1213: 90.0, 2439: 100.0}",czech_republic_first_league,95.0,0.6727272727272727,5,0.40000000000000036,0.27291666666666714
7468090_2024/2025,2436,Teplice,86,Sparta Praha,86,86,0.6606060606060606,2,2024-07-27 16:00:00,"{'Prob_Draw': 0.17878787878787877, 'Prob_Away_Win': 0.6606060606060606, 'Prob_Home_Win': 0.1606060606060606}",8.4,Betfair,6.851666666666667,5.0,Betfair,4.4975,1.46,Betfair,1.403333333333333,1.46,Betfair,1.403333333333333,0.6666666666666666,"{2436: 66.67, 86: 70.0}",czech_republic_first_league,68.33500000000001,0.6606060606060606,5,2.3,2.0166666666666657
7468093_2024/2025,77,Viktoria Plzeň,2437,Hradec Králové,77,77,0.696969696969697,2,2024-07-28 19:00:00,"{'Prob_Draw': 0.2, 'Prob_Away_Win': 0.10303030303030303, 'Prob_Home_Win': 0.696969696969697}",1.37,Betfair,1.3279166666666666,5.5,Betfair,4.977916666666666,10.5,Betfair,7.945,1.37,Betfair,1.3279166666666666,0.6666666666666666,"{77: 63.64, 2437: 75.0}",czech_republic_first_league,69.32,0.696969696969697,5,1.8500000000000005,1.6395833333333334
7468098_2024/2025,86,Sparta Praha,2425,Dukla Praha,86,86,0.7333333333333334,3,2024-08-02 19:00:00,"{'Prob_Draw': 0.13636363636363635, 'Prob_Away_Win': 0.1303030303030303, 'Prob_Home_Win': 0.7333333333333334}",1.11,Cashpoint,1.0820833333333335,12.35,Pncl,9.789583333333335,26.0,Betsson,19.123749999999998,1.11,Cashpoint,1.0820833333333335,0.6666666666666666,"{86: 70.0, 2425: 100.0}",czech_republic_first_league,85.0,0.7333333333333334,5,0.5500000000000007,0.4104166666666673
7468099_2024/2025,2430,Jablonec,77,Viktoria Plzeň,-1,77,0.5515151515151515,3,2024-08-03 16:00:00,"{'Prob_Draw': 0.3, 'Prob_Away_Win': 0.5515151515151515, 'Prob_Home_Win': 0.1484848484848485}",4.55,Cashpoint,4.170416666666666,3.85,Betfair,3.637916666666666,1.91,Betfair,1.7666666666666666,1.91,Betfair,1.7666666666666666,0.6666666666666666,"{2430: 60.0, 77: 63.64}",czech_republic_first_league,61.82,0.5515151515151515,5,-5.0,-5.0
7468104_2024/2025,1213,Slavia Praha,2431,Sigma Olomouc,1213,1213,0.6787878787878787,4,2024-08-10 19:00:00,"{'Prob_Draw': 0.21515151515151515, 'Prob_Away_Win': 0.10606060606060605, 'Prob_Home_Win': 0.6787878787878787}",1.18,Dafabet,1.154583333333333,15.0,Betfair,7.357499999999999,81.0,Betfair,16.412916666666668,1.18,Dafabet,1.154583333333333,0.6666666666666666,"{1213: 90.0, 2431: 66.67}",czech_republic_first_league,78.33500000000001,0.6787878787878787,5,0.8999999999999995,0.7729166666666654
7468106_2024/2025,2435,Mladá Boleslav,2439,České Budějovice,2435,2435,0.6121212121212121,4,2024-08-11 16:00:00,"{'Prob_Draw': 0.26666666666666666, 'Prob_Away_Win': 0.12121212121212122, 'Prob_Home_Win': 0.6121212121212121}",1.62,Betfair,1.5670833333333334,4.6,Betfair,4.1258333333333335,5.7,Betfair,5.004166666666667,1.62,Betfair,1.5670833333333334,0.6666666666666666,"{2435: 25.0, 2439: 100.0}",czech_republic_first_league,62.5,0.6121212121212121,5,3.1000000000000014,2.835416666666667
